feature,target,mean_abs_shap,mean_signed_shap,shap_share_within_target
A00,S1_VV,0.01363025941728247,-0.00192791577309844,0.0017110425548376683
A01,S1_VV,0.04480310787118874,0.002989871895844283,0.005624252760691073
A02,S1_VV,0.014173734545670235,-0.005878006716464442,0.001779266426717044
A03,S1_VV,0.048225483130291194,-0.010528327583615183,0.006053872588727728
A04,S1_VV,0.02828363041769342,0.0057903390547679005,0.003550519015699202
A05,S1_VV,0.025546069381787485,-0.004981359993801161,0.003206865730350769
A06,S1_VV,0.020847096083570955,-0.00011142820909490837,0.0026169911702892115
A07,S1_VV,0.029648918814430394,0.006631237955507149,0.0037219072831507407
A08,S1_VV,0.10782070704499684,-0.017761906707956115,0.013535018842910402
A09,S1_VV,0.011264519204568049,-0.000685220545978504,0.0014140649219312408
A10,S1_VV,0.019476561479575456,-0.011820705716017593,0.0024449443325496086
A11,S1_VV,0.6108265732702473,-0.09312859709862781,0.07667867708855675
A12,S1_VV,0.043297931882558684,-0.0015476641485782446,0.0054353040334349815
A13,S1_VV,0.02900826629721047,0.0003300687650217882,0.003641484476345079
A14,S1_VV,0.2155394050020841,-0.06347097349220099,0.02705723221491596
A15,S1_VV,0.05416804233913972,0.010188433162426317,0.006799857780916355
A16,S1_VV,0.06298608410720097,0.019937655835439726,0.007906809912462577
A17,S1_VV,0.37474461217037486,0.14849616235261348,0.04704268341412751
A18,S1_VV,0.024849355120346136,0.006491691699556831,0.0031194053443527655
A19,S1_VV,0.1478901377676519,-0.021823406791090523,0.018565040577320786
A20,S1_VV,0.014192707695865833,0.0010513269837564877,0.001781648176498184
A21,S1_VV,0.042787406113755845,0.009397193589650696,0.005371216381907581
A22,S1_VV,0.021634898104050882,-0.004899955633966656,0.002715886043861398
A23,S1_VV,0.014882238351591809,0.006272947650559445,0.001868206785449993
A24,S1_VV,0.027165705644573844,-0.01091840952957945,0.0034101829588894924
A25,S1_VV,0.018191786082192574,-0.0029904286715244674,0.0022836630750892226
A26,S1_VV,0.1927206583549015,0.106124382631241,0.024192734528842342
A27,S1_VV,1.279310705425766,0.07004986616940538,0.1605952602096039
A28,S1_VV,0.048965581115863535,-0.003865355898423293,0.006146779048487273
A29,S1_VV,0.10285220954869484,0.010264827075679227,0.012911310196617294
A30,S1_VV,0.11029465919512109,-0.006399721467875783,0.013845580606843337
A31,S1_VV,0.038945327796141536,0.02290352318552702,0.004888910117646627
A32,S1_VV,0.04402056693169641,0.003367725806568044,0.005526018324545545
A33,S1_VV,0.017685503751079756,0.006509658787585737,0.0022201081135308194
A34,S1_VV,0.4995095089272891,0.10076541471277912,0.06270475125638217
A35,S1_VV,0.022142256464755202,0.004717666823964667,0.002779576082263532
A36,S1_VV,0.09721223121627727,0.015582731771525698,0.012203308783020365
A37,S1_VV,0.027783335884852288,0.0055053121098312795,0.00348771571831233
A38,S1_VV,0.021432967895117325,0.003352768200065552,0.002690537210063379
A39,S1_VV,0.3242144432353367,-0.08907929765233444,0.040699497513985314
A40,S1_VV,0.09019337074333215,0.009156285980638104,0.011322212643320366
A41,S1_VV,0.010905698188364753,0.0019400474396605658,0.0013690211696813408
A42,S1_VV,0.05181437359783733,0.033047245478030056,0.006504395511779108
A43,S1_VV,0.05951732185455335,-0.017715471537039378,0.007471367002302765
A44,S1_VV,0.23539674957622692,0.05438994641561562,0.02954997725756368
A45,S1_VV,0.07525821974375559,-0.013242889029809777,0.009447363593066794
A46,S1_VV,0.05061222375387618,0.0038107398143545895,0.006353486458815604
A47,S1_VV,0.025838305115402433,1.7723186560192075e-05,0.003243550855772914
A48,S1_VV,0.07073756933502609,0.02755902744342755,0.008879874377485698
A49,S1_VV,0.3763952545882457,-0.11518162224607455,0.04724989292741206
A50,S1_VV,0.041069757279199065,0.011867011179535467,0.005155595375716935
A51,S1_VV,0.012730073895052197,-0.0032638529416385126,0.0015980398827218465
A52,S1_VV,0.0344694182227904,-0.005826995498036383,0.004327037337595312
A53,S1_VV,0.01875047817823653,-0.0004438270144537346,0.0023537971732099506
A54,S1_VV,0.015554498733360914,0.0017605933930507378,0.0019525974111837833
A55,S1_VV,0.015075233455707302,0.0027150923849765455,0.0018924339718818398
A56,S1_VV,0.011777800004892794,-0.003909705746493762,0.001478498419860356
A57,S1_VV,0.026023840238590633,-0.014287419207441704,0.003266841571046428
A58,S1_VV,0.041898560116735956,0.003573477001395443,0.0052596371904162
A59,S1_VV,0.05346583564795426,-0.005060064470501372,0.006711707915669724
A60,S1_VV,0.03501264528923752,0.010732552644535341,0.00439523006960246
A61,S1_VV,0.02494398608833949,-0.0066941428891786805,0.0031312846203287465
A62,S1_VV,0.13609964367753147,0.02874443360812315,0.017084948635330423
A63,S1_VV,1.5595391355059771,0.026695691271528633,0.19577307702610808
A00,S1_VH,0.019532573294440452,-0.003810399605701179,0.0019702359071136497
A01,S1_VH,0.02080003058458021,0.004425947576607457,0.0020980833661310995
A02,S1_VH,0.08541169501141847,-0.030029727984029076,0.008615413128736819
A03,S1_VH,0.01816286229943036,-0.0073000733685079635,0.0018320741941607861
A04,S1_VH,0.05369511110524078,-0.005920299630045479,0.005416185278880474
A05,S1_VH,0.03912319884711303,0.006948466486483873,0.003946327501644098
A06,S1_VH,0.03194774495316794,0.012904667163584965,0.0032225448899739313
A07,S1_VH,0.017174306719022633,-0.0009043636602476453,0.001732359339833259
A08,S1_VH,0.11539122546766095,-0.01636732060819698,0.011639425709818919
A09,S1_VH,0.026450679818202955,0.005410140124201084,0.002668060084035267
A10,S1_VH,0.045720263508442334,-0.009877966157332453,0.004611768428518854
