feature,target,pearson_r,pearson_abs_r,pearson_p_value
A57,S1_VV_div_VH,0.47504344883003136,0.47504344883003136,1.5318441634443513e-141
A58,S1_VV,-0.12556639803310465,0.12556639803310465,2.7193442176833224e-10
A58,S1_VH,-0.22496111816981484,0.22496111816981484,3.5694546194206795e-30
A58,S1_VV_div_VH,0.35935981665620387,0.35935981665620387,2.0463574670839996e-77
A59,S1_VV,-0.02136109099086868,0.02136109099086868,0.2846234540338456
A59,S1_VH,0.06294156902254172,0.06294156902254172,0.001601941637466558
A59,S1_VV_div_VH,-0.23041619627747942,0.23041619627747942,1.3029730250564036e-31
A60,S1_VV,0.410881478324812,0.410881478324812,6.961670389915423e-103
A60,S1_VH,0.49276030533422777,0.49276030533422777,9.322364106136339e-154
A60,S1_VV_div_VH,-0.4748746392550326,0.4748746392550326,1.9869317085594752e-141
A61,S1_VV,0.7922404153341729,0.7922404153341729,0.0
A61,S1_VH,0.8195079389991764,0.8195079389991764,0.0
A61,S1_VV_div_VH,-0.539402284566399,0.539402284566399,1.3811111303360313e-189
A62,S1_VV,-0.06948550035894341,0.06948550035894341,0.0004932634003127101
A62,S1_VH,0.059656839267921494,0.059656839267921494,0.0027845529987756833
A62,S1_VV_div_VH,-0.3315868176782642,0.3315868176782642,1.6620431612365323e-65
A63,S1_VV,-0.8450643066614028,0.8450643066614028,0.0
A63,S1_VH,-0.87772894418995,0.87772894418995,0.0
A63,S1_VV_div_VH,0.5856774765038861,0.5856774765038861,3.588378623260786e-231
