target,feature_set,model_label,region,dw_label_name,n,mae,rmse,bias,median_abs_error,p90_abs_error,max_abs_error
S1_VH,embedding_only,Embeddings only,amazon_forest,bare,24,1.3675780784637084,1.5967855704830956,-0.41869797527282576,1.1869575557569956,2.602292254892249,3.2598954707027232
S1_VH,embedding_only,Embeddings only,amazon_forest,water,24,1.1674825342261095,1.6563329877024036,-0.39421701920593044,0.8180017648088356,2.722934722976218,4.745438369585067
S1_VH,embedding_only,Embeddings only,amazon_forest,built,24,0.8321406720058114,1.0453377118331302,-0.2697992984531763,0.6412987689992251,1.8007815048191949,2.342830990551354
S1_VH,embedding_only,Embeddings only,amazon_forest,snow_and_ice,24,0.7898705942747246,1.044567375479855,0.10500964700501776,0.6489257195385036,1.6750288358415195,2.7821399026147056
S1_VH,embedding_only,Embeddings only,amazon_forest,crops,24,0.6667855775044819,0.8690917181003267,-0.17282085255884247,0.5160081675658841,1.2134069248570478,2.654764790195731
S1_VH,embedding_only,Embeddings only,amazon_forest,trees,24,0.6651063700330407,0.772658932477367,-0.14807491862126207,0.595652712496368,1.2313641953921508,1.6860182148227771
S1_VH,embedding_only,Embeddings only,amazon_forest,grass,24,0.6497552854478299,0.9306085854787246,-0.15086118775361104,0.40506078309224947,1.3515372647090618,2.7971347949559657
S1_VH,embedding_only,Embeddings only,amazon_forest,shrub_and_scrub,24,0.5808656571909973,0.7378760386324733,0.10718447833108662,0.5508306085174048,1.094344083393137,1.7071579978655258
S1_VH,embedding_only,Embeddings only,amazon_forest,flooded_vegetation,24,0.5107639006190658,0.624284330680243,0.05584404381219594,0.4130680164808318,1.0634005717556179,1.2182166020377956
S1_VH,embedding_only,Embeddings only,california_coast,built,24,0.9389079548235957,1.1876554943582138,-0.03798488954334478,0.7415987182595654,2.0915595385923584,2.674040764028126
S1_VH,embedding_only,Embeddings only,california_coast,snow_and_ice,24,0.9166194558747848,1.152754755705486,-0.33356205710592307,0.700242529983587,2.018106346923923,2.391656822360794
S1_VH,embedding_only,Embeddings only,california_coast,crops,24,0.9138210114413576,1.1563292030909749,0.03459601539464452,0.7886988870977376,1.9375072461593175,3.073174570838379
S1_VH,embedding_only,Embeddings only,california_coast,grass,24,0.8318680178153163,1.0014707609793307,-0.0025992583399783165,0.7157143363928853,1.6205915539108073,1.906736398360664
S1_VH,embedding_only,Embeddings only,california_coast,water,24,0.8212480288583818,1.2080185453696883,0.1956182743305508,0.43791129192357653,2.002653008115397,3.780518463093074
S1_VH,embedding_only,Embeddings only,california_coast,shrub_and_scrub,24,0.7422380095388424,1.2501531146081954,-0.30250929079268624,0.41299108469931056,1.263904978858305,5.052621258016522
S1_VH,embedding_only,Embeddings only,california_coast,trees,24,0.6841055602765547,0.8681949750709507,-0.035373486211053386,0.4887409606099249,1.4329801691301502,2.0197722668100866
S1_VH,embedding_only,Embeddings only,california_coast,flooded_vegetation,24,0.5836578076597524,0.7015094077604537,-0.08854634626044196,0.5152256162885838,1.2233768043543782,1.5202913382892902
S1_VH,embedding_only,Embeddings only,california_coast,bare,24,0.5495639005122344,0.7640309871575138,0.2688534245503256,0.3712525407989844,1.0153538752089026,2.096521778902275
S1_VH,embedding_only,Embeddings only,iowa_ag,water,24,1.372200273346137,1.6153042177785792,0.14770629095850252,1.3808194243384566,2.2145005634618826,3.2186374791525303
S1_VH,embedding_only,Embeddings only,iowa_ag,trees,24,1.0659664882557676,1.3542547995151308,-0.6475824569964898,0.7732450206854331,2.3258444062010106,2.9399196969766432
S1_VH,embedding_only,Embeddings only,iowa_ag,built,24,0.9554046309254302,1.4716649914244444,-0.44798058717216943,0.7137087253823688,2.26027069506402,4.990918499983524
S1_VH,embedding_only,Embeddings only,iowa_ag,crops,24,0.8478267367283198,1.055190977811349,0.4058474045270904,0.7977986868348612,1.687247968514404,2.4073566777061046
S1_VH,embedding_only,Embeddings only,iowa_ag,shrub_and_scrub,24,0.7462788063002829,0.9221570071990094,0.06819661538107578,0.5466062805545491,1.4654053592481806,1.9552814239377163
S1_VH,embedding_only,Embeddings only,iowa_ag,grass,24,0.7231870377784398,1.0215004006862225,0.15696701989482134,0.551934382981873,1.3791865089360118,3.377920662761973
S1_VH,embedding_only,Embeddings only,iowa_ag,bare,24,0.7098624434294841,0.9362520576445827,-0.0022258838648993398,0.5317412198030596,1.4472231594755351,2.2526242490659385
S1_VH,embedding_only,Embeddings only,iowa_ag,flooded_vegetation,24,0.6911563243224382,0.9136309174678875,0.14306993018584332,0.558044006776603,1.3876390685770967,2.3458409453037063
S1_VH,embedding_only,Embeddings only,iowa_ag,snow_and_ice,24,0.6454700436999814,0.8955654626563918,0.13835046610087892,0.4072477125884486,1.3225023249019585,2.2347128304042485
S1_VH,embedding_only,Embeddings only,sf_bay_urban,snow_and_ice,24,1.3860116312757143,1.5474425790954387,0.23696886556270483,1.5748225038452563,2.0156055490227436,3.0304019415748016
S1_VH,embedding_only,Embeddings only,sf_bay_urban,water,24,1.3201793963398964,1.6171870551942058,-0.4740875973617511,1.186069714474666,2.5047350595828535,3.980157611711963
S1_VH,embedding_only,Embeddings only,sf_bay_urban,shrub_and_scrub,24,1.117338096139183,2.1517470396497087,-0.5619520618326611,0.5454118119230262,1.6383082219104914,9.291908559443264
S1_VH,embedding_only,Embeddings only,sf_bay_urban,built,24,1.1075290659896517,1.6388659744147496,-0.2872888529663899,0.607297623933233,2.1677482296151402,5.2297306199078655
S1_VH,embedding_only,Embeddings only,sf_bay_urban,trees,24,1.0120254322226536,1.1914479984617992,0.31441711181617804,0.8233365760655875,1.8697103227365508,2.3481861369955936
S1_VH,embedding_only,Embeddings only,sf_bay_urban,bare,24,0.9419003817787531,1.251829882037974,0.5534366136208475,0.6050055531115017,1.814966119594655,3.8819859107861134
S1_VH,embedding_only,Embeddings only,sf_bay_urban,grass,24,0.8924416020779935,1.1419451002817254,0.018868442291782788,0.7249383703128665,1.6417345987237932,2.974215227373179
S1_VH,embedding_only,Embeddings only,sf_bay_urban,flooded_vegetation,24,0.6451700863827777,0.8053615692534402,0.1568150865633661,0.5074180751962425,1.4331615774956892,1.6769502272706127
S1_VH,embedding_only,Embeddings only,sf_bay_urban,crops,24,0.500335420854926,0.6002919098402716,0.0928771918436065,0.3658280070872717,0.8977210421431829,1.406642157095611
S1_VV,embedding_only,Embeddings only,amazon_forest,water,24,1.504304477601698,2.289251888193791,-0.06428274272155177,0.9152232792145796,4.18410838892126,6.170985953488529
S1_VV,embedding_only,Embeddings only,amazon_forest,built,24,0.9677694722948572,1.183868565978774,0.38174962217268127,0.6511168525429838,2.019705727126683,2.466993547406892
S1_VV,embedding_only,Embeddings only,amazon_forest,bare,24,0.9250836643629038,1.1307080281412447,-0.07741320685118215,0.8535196052241201,1.7249042031562085,2.880813399911087
S1_VV,embedding_only,Embeddings only,amazon_forest,snow_and_ice,24,0.7314761619203113,0.9132372237313249,0.04080509422090569,0.6746696562810426,1.197925153781798,2.655998046140663
S1_VV,embedding_only,Embeddings only,amazon_forest,shrub_and_scrub,24,0.6824162616785534,0.8438186972445474,0.10560188290416529,0.5511085704594239,1.2688507149629351,1.887022274807096
S1_VV,embedding_only,Embeddings only,amazon_forest,grass,24,0.6048775275497924,0.7456229289407105,-0.12704692618382374,0.45189067328004207,1.166120156844879,1.7064782222141055
S1_VV,embedding_only,Embeddings only,amazon_forest,trees,24,0.5693663654852265,0.7135053448616632,-0.0932559074420934,0.4372524620036162,1.144242115489358,1.645882825843996
S1_VV,embedding_only,Embeddings only,amazon_forest,flooded_vegetation,24,0.5555608413743501,0.6976694496566495,-0.028648289941286282,0.5131358215400939,1.1214303313912943,1.494328803810081
S1_VV,embedding_only,Embeddings only,amazon_forest,crops,24,0.5154272208906793,0.601970589697992,-0.16561964108229357,0.4455950659202106,1.0376065873794134,1.1551507190268318
S1_VV,embedding_only,Embeddings only,california_coast,built,24,0.9804633200265563,1.4059840720740815,-0.18657851783518553,0.693286839847107,1.5963799637607075,4.682974520914611
S1_VV,embedding_only,Embeddings only,california_coast,shrub_and_scrub,24,0.9652195559296297,1.1911470468268897,-0.04466209010287522,0.8141344712507372,1.5335479904361051,3.06805541176864
S1_VV,embedding_only,Embeddings only,california_coast,crops,24,0.9040848326502872,1.2165682037402281,-0.28267529849141876,0.625965011213105,2.2220914761001893,2.8806155814303347
S1_VV,embedding_only,Embeddings only,california_coast,bare,24,0.7523551183179679,1.1949492709366456,0.5012009441100334,0.46572219211191784,1.2454591122566685,4.566060895180126
S1_VV,embedding_only,Embeddings only,california_coast,water,24,0.6784585477283351,0.9009340883818979,0.2180475464607595,0.4635264778570871,1.7615249340511543,1.9363291691106672
S1_VV,embedding_only,Embeddings only,california_coast,trees,24,0.6586113909676918,0.7954121872049198,-0.024780782049778138,0.6681949937303671,1.1806201346411982,1.5463716500595162
S1_VV,embedding_only,Embeddings only,california_coast,grass,24,0.6257687192713123,0.7690431990881451,-0.076742973093326,0.5614911165178906,1.1804637693221263,1.8651217986763504
S1_VV,embedding_only,Embeddings only,california_coast,snow_and_ice,24,0.6029074104421761,0.7116319692676046,-0.07930033180477458,0.6112131477653824,1.0620223999512006,1.621769219300722
S1_VV,embedding_only,Embeddings only,california_coast,flooded_vegetation,24,0.49489823308231934,0.7998815324329867,-0.21751740802282296,0.3350072176521657,0.821435749952859,3.060798530361925
S1_VV,embedding_only,Embeddings only,iowa_ag,built,24,1.7658082222841907,3.16454755430857,-1.0317760062367247,0.8963117016190223,3.476025490343041,12.076933731926246
S1_VV,embedding_only,Embeddings only,iowa_ag,trees,24,0.8213831406610438,1.0074670030902304,-0.5525492635714904,0.8062159896252838,1.3062520890773779,2.42812112868155
S1_VV,embedding_only,Embeddings only,iowa_ag,water,24,0.7413617152051927,0.8948085932097204,-0.036059955490088454,0.655868563450114,1.4477437652436047,1.9215012622717431
S1_VV,embedding_only,Embeddings only,iowa_ag,crops,24,0.7050003740548281,0.8722148374944517,0.4366785746982525,0.6926373641035601,1.3961375405617913,1.577146671395706
S1_VV,embedding_only,Embeddings only,iowa_ag,shrub_and_scrub,24,0.6200107049380921,0.7560003469794586,-0.07525487247110646,0.5154119712305851,1.1341268610539201,1.9625340729793503
S1_VV,embedding_only,Embeddings only,iowa_ag,snow_and_ice,24,0.5973678458748132,0.9711742250322601,-0.24410878998522023,0.35691229869710916,1.0707711992756375,3.8712991344071312
S1_VV,embedding_only,Embeddings only,iowa_ag,bare,24,0.5930782803122278,0.7112139826338753,0.10156670214237125,0.5183730355486462,1.1121615585786635,1.234618936715492
S1_VV,embedding_only,Embeddings only,iowa_ag,grass,24,0.46326575693428684,0.598512184043994,0.029652465539411855,0.33317262327394914,0.9905472992083675,1.499736766235355
S1_VV,embedding_only,Embeddings only,iowa_ag,flooded_vegetation,24,0.4486289255531009,0.5311576382051182,-0.17770235032207335,0.471576763660706,0.7209774408533169,1.2877722932242266
S1_VV,embedding_only,Embeddings only,sf_bay_urban,shrub_and_scrub,24,1.3417673741088285,2.1827082253349714,-0.20273962288255065,0.8044711180499009,2.0893311960180836,8.2962459788235
S1_VV,embedding_only,Embeddings only,sf_bay_urban,built,24,1.1933652298031026,1.9377709540578427,-0.49738478125981317,0.794830696981979,2.0475307809075827,7.200034558385964
S1_VV,embedding_only,Embeddings only,sf_bay_urban,water,24,1.120750989609865,1.4638716436678645,-0.038857726928935486,0.8833935698307513,2.1452772553164614,4.405211247148314
S1_VV,embedding_only,Embeddings only,sf_bay_urban,grass,24,1.0936218406870668,1.4762556004173955,-0.044709229092320335,0.569914946698308,2.6589755289304984,3.737805921427832
S1_VV,embedding_only,Embeddings only,sf_bay_urban,bare,24,1.0779535953637096,1.601238618886301,0.6312176274670181,0.731323541912702,2.8568892240240014,4.468094398083833
S1_VV,embedding_only,Embeddings only,sf_bay_urban,snow_and_ice,24,1.0168091907291086,1.371508511523201,0.20627181344010856,0.8806653613422348,2.3528952944233725,3.0443811330244497
S1_VV,embedding_only,Embeddings only,sf_bay_urban,crops,24,0.9616948098104604,1.2014507713209257,0.2360383410760126,0.7512099631446194,1.8189258358200977,3.300433792722762
S1_VV,embedding_only,Embeddings only,sf_bay_urban,trees,24,0.8107272080457951,1.019475608113469,0.2794129103159945,0.6044272649789835,1.7423673145086185,2.326400465780633
S1_VV,embedding_only,Embeddings only,sf_bay_urban,flooded_vegetation,24,0.6138760972145251,0.8988202367122526,0.014947788399374357,0.34900278573893306,1.6208953429842736,2.710745935907976
S1_VV_div_VH,embedding_plus_context,Embeddings + context,amazon_forest,water,24,1.435547422468998,1.893898700119011,0.5581623710217922,1.1406485099994672,3.4865033058663615,4.4767211422943785
S1_VV_div_VH,embedding_plus_context,Embeddings + context,amazon_forest,built,24,1.0724290193561938,1.3844609325556811,0.5104855313786517,0.8221704241865551,2.553982974807953,3.3559104278836616
S1_VV_div_VH,embedding_plus_context,Embeddings + context,amazon_forest,shrub_and_scrub,24,0.7541573478709022,0.8931840763637424,-0.042164849034148584,0.6836815241554004,1.2365651466498495,2.213259552315689
S1_VV_div_VH,embedding_plus_context,Embeddings + context,amazon_forest,bare,24,0.699427110234192,0.9360509609728912,0.06894749318821299,0.4784143804285259,1.3252652812530734,2.5322397599757256
S1_VV_div_VH,embedding_plus_context,Embeddings + context,amazon_forest,snow_and_ice,24,0.609293851697886,0.8115655110104232,-0.3071185899867786,0.47951117367346585,1.4460242579469453,1.919844103580248
S1_VV_div_VH,embedding_plus_context,Embeddings + context,amazon_forest,grass,24,0.5906200402083428,0.7684319233343873,-0.07193946607278189,0.4726047962763209,1.1721650670210408,2.0052615530568687
S1_VV_div_VH,embedding_plus_context,Embeddings + context,amazon_forest,crops,24,0.5324132627721246,0.6534739242351023,-0.1045963102381805,0.4639766799454583,1.1011171255508876,1.384221858522582
S1_VV_div_VH,embedding_plus_context,Embeddings + context,amazon_forest,trees,24,0.516438913465091,0.6166787241032562,-0.1329724393142567,0.48257904886559944,0.9221227732937041,1.443847574837985
S1_VV_div_VH,embedding_plus_context,Embeddings + context,amazon_forest,flooded_vegetation,24,0.5078704127489476,0.7006917161276556,-0.0019672906815938287,0.3944970021362679,0.8052199230675626,2.435370975259181
S1_VV_div_VH,embedding_plus_context,Embeddings + context,california_coast,water,24,1.1002675157802801,1.464120502584643,-0.004102044167413925,0.7556740466454075,2.1438045760950737,4.2271679781677385
S1_VV_div_VH,embedding_plus_context,Embeddings + context,california_coast,crops,24,0.8494819285411582,1.0687903701037125,-0.2757229028599402,0.6433107966358378,1.9206821288120548,2.4572336826832366
S1_VV_div_VH,embedding_plus_context,Embeddings + context,california_coast,grass,24,0.7989225083165117,1.0079083705885807,-0.021048710545736104,0.6520805986487757,1.7129475225667252,2.188532861152
S1_VV_div_VH,embedding_plus_context,Embeddings + context,california_coast,snow_and_ice,24,0.7694324376134989,0.8899560430550578,0.00661357021608211,0.7951095866864994,1.3661459068139106,1.6696938521089315
S1_VV_div_VH,embedding_plus_context,Embeddings + context,california_coast,built,24,0.7440160623458523,1.010373073249487,-0.30536747337968473,0.3990582636064563,1.7630322154172262,2.2864476437986703
S1_VV_div_VH,embedding_plus_context,Embeddings + context,california_coast,flooded_vegetation,24,0.7429731497394219,0.9299821168404263,-0.12005692876712244,0.6205290177088019,1.3264405919916722,2.8163752863008273
S1_VV_div_VH,embedding_plus_context,Embeddings + context,california_coast,shrub_and_scrub,24,0.737819157566237,0.9032960799279129,0.47226480842808266,0.5881418418224418,1.4471618870628313,2.0496698665941704
S1_VV_div_VH,embedding_plus_context,Embeddings + context,california_coast,bare,24,0.632248244467402,0.8606149920900389,0.1256437424804534,0.46272072694810346,1.3647356872055643,2.4657937536078203
S1_VV_div_VH,embedding_plus_context,Embeddings + context,california_coast,trees,24,0.49344315848062786,0.6070199820733277,0.026439986331966727,0.3686450590389425,1.081440611843197,1.2793786687803843
S1_VV_div_VH,embedding_plus_context,Embeddings + context,iowa_ag,built,24,1.7157392626305246,3.1143410495784623,-0.8921395709124921,1.0288058166795402,2.629386742677066,11.687124791823878
S1_VV_div_VH,embedding_plus_context,Embeddings + context,iowa_ag,water,24,1.0248642715290746,1.237573169718962,-0.4426387076132842,0.9751598894639351,1.7818863227175756,2.677988084084884
S1_VV_div_VH,embedding_plus_context,Embeddings + context,iowa_ag,crops,24,0.9486897047350488,1.1733359104201992,-0.0689690641459083,0.7921874173627086,1.930457004847203,2.4881644843109747
S1_VV_div_VH,embedding_plus_context,Embeddings + context,iowa_ag,snow_and_ice,24,0.8899697981559225,1.3503173296714708,-0.5964855287359091,0.35591318995084587,2.5096773641005847,3.658541377271238
S1_VV_div_VH,embedding_plus_context,Embeddings + context,iowa_ag,shrub_and_scrub,24,0.8445732558059517,1.037433563642532,-0.25099743179717976,0.8052604741094034,1.5514662425365944,2.3158644964197883
S1_VV_div_VH,embedding_plus_context,Embeddings + context,iowa_ag,grass,24,0.721630799164083,0.9393053275039769,-0.1493789035361092,0.5689342117380747,1.3370375263027319,2.7144342692282866
S1_VV_div_VH,embedding_plus_context,Embeddings + context,iowa_ag,bare,24,0.6045508028315374,0.813397471165288,0.06636664659527276,0.4863332151416482,1.0351512328038652,2.1846199367714423
S1_VV_div_VH,embedding_plus_context,Embeddings + context,iowa_ag,flooded_vegetation,24,0.5691258076358814,0.7837399249187431,-0.3195433512791711,0.3554890438134777,1.4470090133229347,2.0073122073076295
S1_VV_div_VH,embedding_plus_context,Embeddings + context,iowa_ag,trees,24,0.48155431613446226,0.6188256329086644,0.01179170105557644,0.36754749903526784,1.0750006432204235,1.5100618704086113
S1_VV_div_VH,embedding_plus_context,Embeddings + context,sf_bay_urban,water,24,1.1873461912278604,1.5434069536239319,0.5473256053858677,0.7672510389086424,2.4246678069843224,3.623079415564195
S1_VV_div_VH,embedding_plus_context,Embeddings + context,sf_bay_urban,built,24,1.0493665141754083,1.4526213374085695,-0.07004354316632506,0.6359733498003295,2.5892514748408657,3.7361765308650057
S1_VV_div_VH,embedding_plus_context,Embeddings + context,sf_bay_urban,bare,24,1.0240736510835813,1.3164544239361282,0.0618966078912101,0.9177671735552781,2.103609025363408,3.0948871791311596
S1_VV_div_VH,embedding_plus_context,Embeddings + context,sf_bay_urban,snow_and_ice,24,0.8638032596625128,1.2265207008784775,-0.0671756124946808,0.5847635443262966,1.8302885957464325,3.926371636373494
S1_VV_div_VH,embedding_plus_context,Embeddings + context,sf_bay_urban,crops,24,0.7629324703062895,0.9336406294541716,0.07266531482860296,0.7117931088452099,1.568618005199665,2.17348681611887
S1_VV_div_VH,embedding_plus_context,Embeddings + context,sf_bay_urban,shrub_and_scrub,24,0.7628509261002292,0.9542156301716543,0.3072595416142572,0.6155514814009742,1.4413351929609326,2.1147619861720734
S1_VV_div_VH,embedding_plus_context,Embeddings + context,sf_bay_urban,flooded_vegetation,24,0.6413700323655754,0.8707185734241221,-0.15750620363904896,0.5139090578647529,1.1186131882478603,2.755771852400562
S1_VV_div_VH,embedding_plus_context,Embeddings + context,sf_bay_urban,grass,24,0.6168099619243526,0.894809343971468,-0.07782045788273477,0.44987285735206717,0.8134999448508216,3.275798363079524
S1_VV_div_VH,embedding_plus_context,Embeddings + context,sf_bay_urban,trees,24,0.4461359777169609,0.5377688223169123,-0.061284524565860275,0.35444803399285574,0.8472865220732149,1.1962681910542088
