feature_set,target,model_name,fraction,n_train,train_r2_mean,train_r2_std,valid_r2_mean,valid_r2_std,train_rmse_mean,valid_rmse_mean
embedding_only,S1_VH,lightgbm,0.1,216.0,0.9990844615957505,9.308973089641688e-05,0.8666552820589447,0.0095976090421442,0.14806457608898088,1.7974432015054334
embedding_only,S1_VH,lightgbm,0.2,396.0,0.9988976827050644,4.1875508166717725e-05,0.8979310943756439,0.0029613906728360156,0.16325225803214508,1.5731533798799724
embedding_only,S1_VH,lightgbm,0.4,792.0,0.9970162870358271,0.00025579409797843645,0.9217529025333898,0.00442951330795726,0.27089216005596145,1.3771265554782497
embedding_only,S1_VH,lightgbm,0.6,1224.0,0.9949066409571649,0.0003206223290767135,0.933910442544888,0.0015773571601344644,0.35572440114554743,1.2659039037694624
embedding_only,S1_VH,lightgbm,0.8,1620.0,0.9924671479394626,0.00021533872910726643,0.9366172550026798,0.00198396106988409,0.43290249292943317,1.2396677712786566
embedding_only,S1_VH,lightgbm,1.0,2016.0,0.9909574095212722,0.0,0.9412110286048282,0.0,0.47374069513613964,1.1939960001307515
embedding_only,S1_VH,ridge,0.1,216.0,0.9310618652687527,0.0038763981385936557,0.9016992163448373,0.00553687769945561,1.2851488679558412,1.5435471958320381
embedding_only,S1_VH,ridge,0.2,396.0,0.9351995944286017,0.003944882279622913,0.9163674570542216,0.00392914756324588,1.2509574819560647,1.4238482571106257
embedding_only,S1_VH,ridge,0.4,792.0,0.9437226661574458,0.0011926280081032748,0.9235553764331764,0.0010370430097225262,1.1773251038290824,1.3615128337836229
embedding_only,S1_VH,ridge,0.6,1224.0,0.9436778705243718,0.000457991462030175,0.9272039901238133,0.00035139901987443176,1.1834815930530076,1.328641716930455
embedding_only,S1_VH,ridge,0.8,1620.0,0.9430739355287185,0.0007291908473069306,0.9280225902849638,0.00032689923092740753,1.1901522802105575,1.3211505211175998
embedding_only,S1_VH,ridge,1.0,2016.0,0.9435701426955122,0.0,0.9285174786791592,0.0,1.1834467941587472,1.3166030970654956
embedding_only,S1_VV,lightgbm,0.1,216.0,0.9987023481811663,6.688136278151121e-05,0.7808076662083764,0.008762346355825233,0.1344049889567631,1.878829749981403
embedding_only,S1_VV,lightgbm,0.2,396.0,0.9984440200449353,0.00019273203649404605,0.8301701980971171,0.007038132876424799,0.14960935326933902,1.6537782208202056
embedding_only,S1_VV,lightgbm,0.4,792.0,0.9957625920866876,0.0002642302103148856,0.8702506561181038,0.0061421595678686994,0.2504918489482861,1.4454525669193334
embedding_only,S1_VV,lightgbm,0.6,1224.0,0.9931938371755873,0.00028361738326207063,0.888142607473256,0.0014693596461820791,0.3189842550031961,1.3423261992950934
embedding_only,S1_VV,lightgbm,0.8,1620.0,0.990421270949378,0.0004904767330883696,0.8956189770866501,0.0005556750790290829,0.3766511568316606,1.2967065886007214
embedding_only,S1_VV,lightgbm,1.0,2016.0,0.9882976432688557,0.0,0.8995870510409943,0.0,0.41566180811472125,1.2718234530347674
embedding_only,S1_VV,ridge,0.1,216.0,0.8895260377306461,0.009614518346290296,0.8161867651077249,0.005043847831660247,1.238990170317603,1.720651735654089
embedding_only,S1_VV,ridge,0.2,396.0,0.8969978176183044,0.010125578727687014,0.8452510921345494,0.0018060676890137106,1.2172821872514685,1.5788498069428503
embedding_only,S1_VV,ridge,0.4,792.0,0.9112591219429459,0.0069179572400438665,0.8591725765022664,0.0045709765456832365,1.14622388736596,1.50604447720671
