feature_set,target,model_name,model_label,region,r2,rmse,mae,pearson_r,n_test
embedding_only,S1_VH,lightgbm,LightGBM (Embeddings only),amazon_forest,0.9493533467931482,1.1246834290266547,0.8037318851599798,0.974902811648008,216
embedding_only,S1_VH,lightgbm,LightGBM (Embeddings only),california_coast,0.9560439982932146,1.0633357003788988,0.7740771620043208,0.9780654704069838,216
embedding_only,S1_VH,lightgbm,LightGBM (Embeddings only),iowa_ag,0.8773977978335814,1.1735836787868883,0.8807918922623956,0.9375539993078323,216
embedding_only,S1_VH,lightgbm,LightGBM (Embeddings only),sf_bay_urban,0.9310102999382479,1.389104573086753,0.9846339772776742,0.9649261481573103,216
embedding_plus_context,S1_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),amazon_forest,0.9513064722591646,1.102784212399139,0.8115609898016652,0.9755010781464508,216
embedding_plus_context,S1_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),california_coast,0.9590199017663434,1.0267100233288544,0.7483227499549493,0.9795538065393741,216
embedding_plus_context,S1_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),iowa_ag,0.8775772382955828,1.1727245363551915,0.8800886557719098,0.9383697443873297,216
embedding_plus_context,S1_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),sf_bay_urban,0.9329887663902462,1.3690415187235059,0.9911302385999223,0.9659246412576992,216
embedding_only,S1_VV,lightgbm,LightGBM (Embeddings only),amazon_forest,0.9325133017306343,1.1517887666665416,0.785039067730077,0.9656763082476008,216
embedding_only,S1_VV,lightgbm,LightGBM (Embeddings only),california_coast,0.9203968024890842,1.0410789880851807,0.7562740489423361,0.9601287007100883,216
embedding_only,S1_VV,lightgbm,LightGBM (Embeddings only),iowa_ag,0.8501177867929413,1.3078242182580346,0.7583455408714224,0.9292195614616521,216
embedding_only,S1_VV,lightgbm,LightGBM (Embeddings only),sf_bay_urban,0.8675283032539804,1.5327336932563265,1.037131511595264,0.9335133121699586,216
embedding_plus_context,S1_VV,lightgbm,LightGBM (Embeddings + region + Dynamic World),amazon_forest,0.9351603689128367,1.1289741956057462,0.7776884110394304,0.967163604018817,216
embedding_plus_context,S1_VV,lightgbm,LightGBM (Embeddings + region + Dynamic World),california_coast,0.9221903858117526,1.0292836065257338,0.7501007255609545,0.9608168584902563,216
embedding_plus_context,S1_VV,lightgbm,LightGBM (Embeddings + region + Dynamic World),iowa_ag,0.8386456844147953,1.356952418585368,0.7893065136365115,0.9230812127528993,216
embedding_plus_context,S1_VV,lightgbm,LightGBM (Embeddings + region + Dynamic World),sf_bay_urban,0.8775623898809892,1.4735421964912392,0.9806536453988834,0.9397017000092436,216
embedding_only,S1_VV_div_VH,lightgbm,LightGBM (Embeddings only),amazon_forest,0.4842052304443569,1.0417682139571995,0.7459765266650646,0.7038100796306362,216
embedding_only,S1_VV_div_VH,lightgbm,LightGBM (Embeddings only),california_coast,0.8432573582624014,0.9871460935647466,0.7592260056558463,0.9184873610603214,216
embedding_only,S1_VV_div_VH,lightgbm,LightGBM (Embeddings only),iowa_ag,0.4162461036679399,1.3655337767992213,0.8595156077708663,0.6694559148731865,216
embedding_only,S1_VV_div_VH,lightgbm,LightGBM (Embeddings only),sf_bay_urban,0.7258876083094592,1.1231702477039354,0.8204611367618321,0.8520657260417026,216
embedding_plus_context,S1_VV_div_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),amazon_forest,0.45722786727614784,1.0686645577267964,0.7558210618827149,0.6860975934762887,216
embedding_plus_context,S1_VV_div_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),california_coast,0.841093385172368,0.9939369550832786,0.7636533742422432,0.917265750833703,216
embedding_plus_context,S1_VV_div_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),iowa_ag,0.37864940780523315,1.4088212999881404,0.8653290529027396,0.6409036480940316,216
embedding_plus_context,S1_VV_div_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),sf_bay_urban,0.7360234964829314,1.1022088460881376,0.809119187317399,0.8581459430609302,216
