feature_set,target,model_name,model_label,train_r2,train_rmse,train_mae,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,stability_r2_mean,stability_r2_std,stability_rmse_mean,stability_rmse_std,best_params,r2,rmse,mae,pearson_r,prediction_file
embedding_plus_context,S1_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),0.995087527008747,0.349175970840081,0.270124436150753,0.9392860260398491,0.0060428518272289565,1.2204544376345277,0.07025321829065877,0.9188410165413364,0.04738984457396162,0.9384582458196169,0.005922048957819475,1.2289638099935505,0.06902664865819415,"{""colsample_bytree"": 0.5232252063599989, ""learning_rate"": 0.025815006344207535, ""max_depth"": 4, ""metric"": ""rmse"", ""min_child_samples"": 44, ""n_estimators"": 2075, ""n_jobs"": 1, ""num_leaves"": 103, ""objective"": ""regression"", ""random_state"": 42, ""reg_alpha"": 0.071587143831198, ""reg_lambda"": 0.0007122305833333872, ""subsample"": 0.836965827544817, ""verbosity"": -1}",0.9430943540349548,1.1747152856414813,0.8577756585321117,0.9711732162192159,test_predictions_embedding_plus_context_S1_VH.csv
embedding_only,S1_VH,lightgbm,LightGBM (Embeddings only),0.9909574095212721,0.47374069513613964,0.36610347380895764,0.9401747477168887,0.006972796611523348,1.2113763301649265,0.0828414499165656,0.910201610069855,0.05652625962639524,0.9389913676772955,0.007553475211124461,1.2233078219005835,0.08938311432798601,"{""colsample_bytree"": 0.6356745158869479, ""learning_rate"": 0.012020338353108924, ""max_depth"": 3, ""metric"": ""rmse"", ""min_child_samples"": 29, ""n_estimators"": 4736, ""n_jobs"": 1, ""num_leaves"": 31, ""objective"": ""regression"", ""random_state"": 42, ""reg_alpha"": 0.7838134236608695, ""reg_lambda"": 0.0060780830996819525, ""subsample"": 0.7554709158757927, ""verbosity"": -1}",0.9412110286048282,1.1939960001307515,0.8608087291760926,0.9702520180119467,test_predictions_embedding_only_S1_VH.csv
embedding_plus_context,S1_VV,lightgbm,LightGBM (Embeddings + region + Dynamic World),0.9886245738851143,0.4098144740588577,0.3175272935309175,0.9075885560881755,0.005700143972301302,1.1618815624238266,0.008892831458538067,0.8433977950404339,0.031503407973631034,0.9074339751220192,0.006297187044695197,1.1627318262225765,0.009960632781699895,"{""colsample_bytree"": 0.6356745158869479, ""learning_rate"": 0.012020338353108924, ""max_depth"": 3, ""metric"": ""rmse"", ""min_child_samples"": 29, ""n_estimators"": 4779, ""n_jobs"": 1, ""num_leaves"": 31, ""objective"": ""regression"", ""random_state"": 42, ""reg_alpha"": 0.7838134236608695, ""reg_lambda"": 0.0060780830996819525, ""subsample"": 0.7554709158757927, ""verbosity"": -1}",0.9015034790509713,1.2596283130502395,0.824437323908945,0.9506516568219064,test_predictions_embedding_plus_context_S1_VV.csv
embedding_only,S1_VV,lightgbm,LightGBM (Embeddings only),0.9882976432688557,0.4156618081147213,0.32139855949004587,0.9104132961513778,0.008601894313919996,1.1430912904840047,0.043837072171347906,0.8272036774374738,0.04109383851360259,0.9101550006369507,0.008485405835205129,1.1449392449605333,0.042420422935277036,"{""colsample_bytree"": 0.6228013313768587, ""learning_rate"": 0.0155343466849326, ""max_depth"": 3, ""metric"": ""rmse"", ""min_child_samples"": 40, ""n_estimators"": 4290, ""n_jobs"": 1, ""num_leaves"": 25, ""objective"": ""regression"", ""random_state"": 42, ""reg_alpha"": 0.021064220053368873, ""reg_lambda"": 1.1985307654447117, ""subsample"": 0.9276269504938004, ""verbosity"": -1}",0.8995870510409942,1.2718234530347674,0.8341975422847748,0.9494565316152991,test_predictions_embedding_only_S1_VV.csv
embedding_only,S1_VV_div_VH,lightgbm,LightGBM (Embeddings only),0.9175105231403817,0.5901591667445314,0.4431898024262675,0.7306326344887767,0.029362167772733223,1.0569191783791416,0.021767874384800143,0.7836388612916416,0.023328784345794974,0.7291594842077681,0.02897659554310953,1.0601460194913332,0.020940601401928993,"{""colsample_bytree"": 0.5232252063599989, ""learning_rate"": 0.025815006344207535, ""max_depth"": 4, ""metric"": ""rmse"", ""min_child_samples"": 44, ""n_estimators"": 873, ""n_jobs"": 1, ""num_leaves"": 103, ""objective"": ""regression"", ""random_state"": 42, ""reg_alpha"": 0.071587143831198, ""reg_lambda"": 0.0007122305833333872, ""subsample"": 0.836965827544817, ""verbosity"": -1}",0.7070277249582746,1.1386321094364258,0.7962948192134023,0.8410302319828512,test_predictions_embedding_only_S1_VV_div_VH.csv
embedding_plus_context,S1_VV_div_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),0.9606039975771332,0.4078457680984499,0.2930886936940655,0.731515412257826,0.02555617927704426,1.0560964954740695,0.027067908587153324,0.7827970640653065,0.019256635118564267,0.7298395252315416,0.026711122396938645,1.0594080312264162,0.02831415959366544,"{""colsample_bytree"": 0.5488360570031919, ""learning_rate"": 0.011448469784568732, ""max_depth"": 10, ""metric"": ""rmse"", ""min_child_samples"": 66, ""n_estimators"": 1709, ""n_jobs"": 1, ""num_leaves"": 122, ""objective"": ""regression"", ""random_state"": 42, ""reg_alpha"": 0.16413094407760043, ""reg_lambda"": 0.015876781526923997, ""subsample"": 0.7218455076693483, ""verbosity"": -1}",0.6989116158454656,1.154295932951863,0.7984806690862742,0.8362900871448662,test_predictions_embedding_plus_context_S1_VV_div_VH.csv
