target,feature_set,model_label,n,residual_mean,residual_std,residual_skew,residual_excess_kurtosis,p90_abs_residual,p95_abs_residual,max_abs_residual
S1_VH,embedding_only,Embeddings only,864,-0.04376491939285881,1.1814165996378885,-0.850201685117171,5.528020376343125,1.9017621472012827,2.232861455820704,9.291908559443264
S1_VV,embedding_only,Embeddings only,864,-0.03295765002543463,1.2545050172251164,-1.7873548788693365,15.930101060404922,1.6589748350260485,2.2290573524109147,12.076933731926246
S1_VV_div_VH,embedding_plus_context,Embeddings + context,864,-0.04736602734445312,1.1541817093533453,-1.637272428369362,14.723565193513139,1.6874319913784186,2.226829217104189,11.687124791823878
