feature_set,target,seed,fold,r2,rmse,mae,pearson_r,best_iteration
embedding_only,S1_VH,42,1,0.9099867111845494,1.18885695410287,0.9120312835061636,0.9541337475365885,1860.0
embedding_only,S1_VH,42,2,0.92341719073217,1.280903334769422,0.9343424662744082,0.9635472197939636,1213.0
embedding_only,S1_VH,42,3,0.9523818508202657,1.2529930170947898,0.9192505897338116,0.9761536852671373,1814.0
embedding_only,S1_VH,42,4,0.9369543577742389,1.239942924727321,0.9303288679939878,0.9680713526050335,1856.0
embedding_only,S1_VH,52,1,0.9359601500637895,1.1450202076775253,0.8873652446855239,0.9674611037536018,1870.0
embedding_only,S1_VH,52,2,0.9402468872437355,1.3232066188255531,0.980805402022808,0.9696865462787384,1872.0
embedding_only,S1_VH,52,3,0.9324286557595705,1.401337050097167,1.018505137916917,0.9687370273203189,1448.0
embedding_only,S1_VH,52,4,0.9240868414837241,1.1918526660143196,0.9009354446709719,0.9617929455165423,1867.0
embedding_only,S1_VH,62,1,0.9428122387416802,1.2388810921200024,0.9179622723694896,0.9719174839041302,1871.0
embedding_only,S1_VH,62,2,0.946649924025036,1.1752497948389498,0.8866900772705164,0.9731256993576684,1813.0
embedding_only,S1_VH,62,3,0.9269987224418452,1.2089587131124684,0.9068016373895835,0.9641622048603498,1854.0
embedding_only,S1_VH,62,4,0.934852050269542,1.300963658144096,0.95738247919624,0.9680115846470966,1296.0
embedding_plus_context,S1_VH,42,1,0.9118215787252224,1.1766774945872467,0.9138958750590714,0.9549258431223042,2594.0
embedding_plus_context,S1_VH,42,2,0.9250101984913838,1.2675112177977783,0.9318559293088665,0.963467638993271,2672.0
embedding_plus_context,S1_VH,42,3,0.9485156157124429,1.3028672178605412,0.9677148141044192,0.9743081466385145,2378.0
embedding_plus_context,S1_VH,42,4,0.9318703985730666,1.288967841808479,0.9797204518944752,0.965586666983186,2324.0
embedding_plus_context,S1_VH,52,1,0.9320031030600986,1.1798656174841997,0.9136825735809992,0.9656733936519097,1862.0
embedding_plus_context,S1_VH,52,2,0.9314893171069435,1.4168587146874212,1.0521468027677776,0.9652988803132354,1443.0
embedding_plus_context,S1_VH,52,3,0.9383832613149201,1.3381681195599036,0.9895988788323306,0.9705994793588592,1585.0
embedding_plus_context,S1_VH,52,4,0.9279264871004484,1.161319949891066,0.8741283521627013,0.96342278830887,2421.0
embedding_plus_context,S1_VH,62,1,0.9378136734058581,1.2918899767332213,0.9801607296105306,0.9687375187689035,2603.0
embedding_plus_context,S1_VH,62,2,0.9461303373656077,1.18095891994268,0.8901224320896054,0.97282468157343,2678.0
embedding_plus_context,S1_VH,62,3,0.9257645411010095,1.2191353889469474,0.9113413567487987,0.9624730642001428,2314.0
embedding_plus_context,S1_VH,62,4,0.9392261585984257,1.2565307833084773,0.9433108631552231,0.9700778306730451,1725.0
