target,feature_set,model_name,dw_label_name,n_samples,r2,rmse,mae,pearson_r
S1_VH,embedding_plus_context,lightgbm,bare,96,0.79166131632125,1.074556718130484,0.7748607215161899,0.8912813633812966
S1_VH,embedding_plus_context,lightgbm,shrub_and_scrub,96,0.8118187102593948,1.3972373242441096,0.8840418192201005,0.9038150653079774
S1_VH,embedding_plus_context,lightgbm,trees,96,0.8430949140058586,0.9901664949451137,0.784021351085651,0.9199457808765789
S1_VH,embedding_plus_context,lightgbm,built,96,0.8566306318118364,1.3036956453557829,0.934546571486019,0.9316590360789782
S1_VH,embedding_plus_context,lightgbm,snow_and_ice,96,0.873413046485618,1.1971857653889457,0.9261064207456116,0.9361441549194284
S1_VH,embedding_plus_context,lightgbm,water,96,0.8908802664577055,1.579707363456362,1.2300496130993261,0.9446374202104265
S1_VH,embedding_plus_context,lightgbm,crops,96,0.8956190860673755,0.8583880860098166,0.703985934278161,0.9495595059029576
S1_VH,embedding_plus_context,lightgbm,grass,96,0.8958462241599432,1.0603274873655644,0.7889137488282475,0.9467725173671881
S1_VH,embedding_plus_context,lightgbm,flooded_vegetation,96,0.925430173344149,0.9180164045545537,0.6934547465296984,0.9628340379767043
S1_VV,embedding_plus_context,lightgbm,bare,96,0.6989451661632093,1.1886490975929502,0.825711823228656,0.84878694037347
S1_VV,embedding_plus_context,lightgbm,built,96,0.73199046955883,2.1071397090836093,1.2326243831608052,0.8720355572861835
S1_VV,embedding_plus_context,lightgbm,crops,96,0.7819093559713041,0.977717284892497,0.7236705384477715,0.8852890830998794
S1_VV,embedding_plus_context,lightgbm,shrub_and_scrub,96,0.7875558754327272,1.345108634546917,0.893896619564166,0.8926768741390765
S1_VV,embedding_plus_context,lightgbm,trees,96,0.8469332601310562,0.9381546296232857,0.7444784733217222,0.9232234677027712
S1_VV,embedding_plus_context,lightgbm,water,96,0.8499141125163098,1.4619525224965204,0.9884244704467818,0.9307107595807159
S1_VV,embedding_plus_context,lightgbm,grass,96,0.8579851544250281,0.9776323439790657,0.6906842747800136,0.929448322515468
S1_VV,embedding_plus_context,lightgbm,snow_and_ice,96,0.8977307413328983,1.0159331331980277,0.7611762840962178,0.9476124446723765
S1_VV,embedding_plus_context,lightgbm,flooded_vegetation,96,0.9171534889214267,0.8102309586675299,0.5592690481343702,0.9581598579606928
S1_VV_div_VH,embedding_only,lightgbm,trees,96,0.3578141644188636,0.6004819376548395,0.48293412019713244,0.6415661089279927
S1_VV_div_VH,embedding_only,lightgbm,shrub_and_scrub,96,0.3778036197692132,0.9315240007642458,0.757020848747795,0.6347656934642346
S1_VV_div_VH,embedding_only,lightgbm,built,96,0.46318756999084876,1.846174429212143,1.126227450904577,0.7119020009413737
S1_VV_div_VH,embedding_only,lightgbm,crops,96,0.5316698322825744,1.0004597636425145,0.7817002252029125,0.7336397837156883
S1_VV_div_VH,embedding_only,lightgbm,bare,96,0.5474548987114609,1.0466631175470866,0.7798843802252414,0.7481398418662573
S1_VV_div_VH,embedding_only,lightgbm,grass,96,0.6471346564333214,0.9562083189948754,0.7082763819338195,0.8104120572648152
S1_VV_div_VH,embedding_only,lightgbm,snow_and_ice,96,0.6614829582037086,1.0338865514827378,0.7604309982681642,0.8200259361245963
S1_VV_div_VH,embedding_only,lightgbm,flooded_vegetation,96,0.6627611925873047,0.822188931249579,0.6180920493705903,0.83185997691051
S1_VV_div_VH,embedding_only,lightgbm,water,96,0.7244118993968378,1.508641233563587,1.1520869180703879,0.8539384587205434
