trial,objective,metric,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,random_state,n_jobs,verbosity,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_best_iteration_mean,cv_best_iteration_std
6,regression,rmse,5000,0.031169409812378798,30,10,63,0.9757995766256756,0.9474136752138245,0.0644932207737863,4.067908494359543,42,1,-1,0.7084584879439506,0.059409092171291686,2.5137782981362893,0.2922664792304818,1.407031666797103,0.06362254982997104,431.75,51.591544849907336
10,regression,rmse,5000,0.07122510724802614,8,10,6,0.9935496864584779,0.9538323976412588,3.235444438857017,7.653133395443951,42,1,-1,0.705374632555664,0.06663459879356615,2.515118499212323,0.2385616435396481,1.3842807717726726,0.04835670831855754,341.75,250.1813092539089
11,regression,rmse,5000,0.0716459735889611,8,10,6,0.9895680834513327,0.995908971984522,4.319491067122258,6.957700515599784,42,1,-1,0.7047233086624598,0.06744799723717952,2.5170811741949066,0.23660333732350708,1.3756939563847452,0.044695590362014676,413.0,331.5380822771345
4,regression,rmse,5000,0.011448469784568732,122,10,66,0.7218455076693483,0.5488360570031919,0.16413094407760043,0.015876781526923997,42,1,-1,0.7074815601963148,0.058523588936927495,2.5180390472869796,0.29093186774228047,1.403238702636126,0.06095281394856534,1099.75,105.8356627040243
2,regression,rmse,5000,0.018826002986047252,71,6,27,0.8447411578889518,0.569746930326021,0.002359277035307129,0.0067890532716984855,42,1,-1,0.7039043628113746,0.06808355915817384,2.5257158651487632,0.31938914197056806,1.3826743570699236,0.061079912744090366,462.75,175.7901803287089
8,regression,rmse,5000,0.01793532053620138,73,4,65,0.6298202574719083,0.9934434683002586,0.42535839337376785,0.0009853225172032562,42,1,-1,0.7022313536447795,0.05887809212074934,2.5420507641423384,0.3010988118405517,1.4311308397297622,0.06695286034730034,879.0,162.22977531883598
9,regression,rmse,5000,0.01011549101545285,106,8,60,0.9085081386743783,0.5370223258670452,0.0048352585996829555,0.00037961668958008145,42,1,-1,0.6986145089347129,0.06860740347149953,2.545242359275478,0.2722347309306833,1.4079147262983485,0.06299768911338428,1230.75,93.10847168759672
3,regression,rmse,5000,0.025815006344207535,103,4,44,0.836965827544817,0.5232252063599989,0.071587143831198,0.0007122305833333872,42,1,-1,0.6965862969058676,0.07129100745089705,2.5527618946015913,0.29047125497145415,1.4119719261528416,0.06803027958024256,655.75,284.63518317312776
1,regression,rmse,5000,0.034902854606300035,93,3,78,0.9329770563201687,0.6061695553391381,0.0007151383480402494,0.0008260808399079611,42,1,-1,0.6986390461891037,0.06013013980593591,2.5558408904142382,0.2935449944058859,1.4398236761575292,0.06311656412261397,516.0,86.52456298647223
7,regression,rmse,5000,0.012020338353108924,31,3,29,0.7554709158757927,0.6356745158869479,0.7838134236608695,0.0060780830996819525,42,1,-1,0.6965411616297139,0.06859444269378238,2.5586987255486484,0.32799293108927435,1.3969324294612688,0.06423170529636922,961.0,94.58593975850745
5,regression,rmse,5000,0.012888771013236352,67,3,74,0.7035119926400067,0.831261142176991,0.0029155533757373392,0.039841905944346875,42,1,-1,0.695492640105664,0.06441146452394672,2.5651978374853597,0.29475978290807703,1.4246731402396078,0.0483361042069347,1307.0,428.5749642711296
12,regression,rmse,5000,0.07862574900803147,8,9,5,0.9881259105415678,0.8856088104168377,4.770023628027023,0.4846972845331482,42,1,-1,0.6937088613776119,0.06699961478548028,2.567238605746572,0.24326994917637268,1.387779388220719,0.04843191223529346,469.0,205.96965795961307
18,regression,rmse,5000,0.03547677433929593,60,6,36,0.8738984014847606,0.951221333098946,1.7881119570464108,2.0003367633319553,42,1,-1,0.6911349499076676,0.07809415215867337,2.568532386797157,0.28813887108243535,1.4072571475906979,0.06552405437206978,330.25,140.11312393919422
0,regression,rmse,5000,0.021789307659775742,123,8,50,0.6624074561769746,0.5779972601681014,0.00018747059221802545,2.142302175774105,42,1,-1,0.690948006016282,0.07928219308571875,2.5708037872331944,0.30016000916142027,1.4044775335762774,0.08303168840318334,571.75,78.62052848970173
17,regression,rmse,5000,0.057303283504821986,45,9,44,0.7843200498072376,0.6943845973931931,0.1917340715122042,2.1167359501950163,42,1,-1,0.6884941163473455,0.08232798561600477,2.575491869248295,0.28190951013893845,1.4208359459671498,0.06977865976536132,382.5,222.58650003987213
15,regression,rmse,5000,0.05300302486825536,45,9,35,0.86456910202957,0.9229592519857424,0.9689263543575946,0.6402906826216895,42,1,-1,0.6883602731590943,0.07939964450348705,2.578742424991041,0.27807018675225403,1.4092203763293667,0.07397975801433705,275.75,132.756120386218
14,regression,rmse,5000,0.05442808046906034,30,10,53,0.9488055775621085,0.7582426583781777,0.04731831540825071,9.551793982137871,42,1,-1,0.6859625950886443,0.0797751384184868,2.5904808211425423,0.29060944152244544,1.421248410387243,0.07334961048340347,232.25,54.40760516692497
13,regression,rmse,5000,0.04297470648428651,36,7,22,0.9113793190593593,0.8935885018101853,0.01816537503657495,0.3324675762958675,42,1,-1,0.6844305899284244,0.06935850530364773,2.6064095580343682,0.2699876674609619,1.4140567367509833,0.042243928122116414,126.75,43.77427897750002
19,regression,rmse,5000,0.04562133049067954,19,8,15,0.9527437786203036,0.8304442803068437,0.009474655306325939,0.09118159357955602,42,1,-1,0.679395370932548,0.07198322884912027,2.6261036764717725,0.28006206938754374,1.4154030592476152,0.05617392270634399,203.25,46.70853776345391
16,regression,rmse,5000,0.034106941203747305,20,7,17,0.9994781034279444,0.7912554411220167,0.024878687192414685,0.15752240409654472,42,1,-1,0.680703203363376,0.06271322077418541,2.627470166832197,0.24826780388325148,1.4062795624999227,0.06168268663826914,218.25,79.89485277538222
