target,feature_set,model_label,r2,rmse,mae,pearson_r
S1_VH,embedding_only,Embeddings only,0.9423642664636698,1.1822269452475758,0.8581295087337338,0.9708842646325484
S1_VV,embedding_only,Embeddings only,0.902235651640078,1.2549378649710865,0.8251533450768024,0.9507947065313896
S1_VV_div_VH,embedding_plus_context,Embeddings + context,0.69846421819823,1.1551532187342963,0.7983941263016366,0.8360714832097736
