target,feature_set,model_name,region,n_samples,r2,rmse,mae,pearson_r
S1_VH,embedding_plus_context,lightgbm,iowa_ag,216,0.8775772382955828,1.1727245363551915,0.8800886557719098,0.9383697443873297
S1_VH,embedding_plus_context,lightgbm,sf_bay_urban,216,0.9329887663902462,1.3690415187235059,0.9911302385999223,0.9659246412576992
S1_VH,embedding_plus_context,lightgbm,amazon_forest,216,0.9513064722591646,1.102784212399139,0.8115609898016652,0.9755010781464508
S1_VH,embedding_plus_context,lightgbm,california_coast,216,0.9590199017663434,1.0267100233288544,0.7483227499549493,0.9795538065393741
S1_VV,embedding_plus_context,lightgbm,iowa_ag,216,0.8386456844147953,1.356952418585368,0.7893065136365115,0.9230812127528993
S1_VV,embedding_plus_context,lightgbm,sf_bay_urban,216,0.8775623898809892,1.4735421964912392,0.9806536453988834,0.9397017000092436
S1_VV,embedding_plus_context,lightgbm,california_coast,216,0.9221903858117526,1.0292836065257338,0.7501007255609545,0.9608168584902563
S1_VV,embedding_plus_context,lightgbm,amazon_forest,216,0.9351603689128367,1.1289741956057462,0.7776884110394304,0.967163604018817
S1_VV_div_VH,embedding_only,lightgbm,iowa_ag,216,0.4162461036679399,1.3655337767992213,0.8595156077708663,0.6694559148731865
S1_VV_div_VH,embedding_only,lightgbm,amazon_forest,216,0.4842052304443569,1.0417682139571995,0.7459765266650646,0.7038100796306362
S1_VV_div_VH,embedding_only,lightgbm,sf_bay_urban,216,0.7258876083094592,1.1231702477039354,0.8204611367618321,0.8520657260417026
S1_VV_div_VH,embedding_only,lightgbm,california_coast,216,0.8432573582624014,0.9871460935647466,0.7592260056558463,0.9184873610603214
