feature_set,target,model_name,model_label,dw_label_name,r2,rmse,mae,pearson_r,n_test
embedding_only,S1_VH,ridge_vh,Ridge (VH) [Embeddings only],bare,0.7416564881539266,1.1965839279033383,0.8780238190403948,0.8676296403292165,96
embedding_only,S1_VH,ridge_vh,Ridge (VH) [Embeddings only],built,0.7476794080346145,1.7295151738766124,1.1090680582541068,0.870313395761699,96
embedding_only,S1_VH,ridge_vh,Ridge (VH) [Embeddings only],crops,0.8195211385451524,1.1287202195902033,0.8503366765702535,0.9066692639742826,96
embedding_only,S1_VH,ridge_vh,Ridge (VH) [Embeddings only],flooded_vegetation,0.9342939960942933,0.8617303772675177,0.6903106253084909,0.9709923463210579,96
embedding_only,S1_VH,ridge_vh,Ridge (VH) [Embeddings only],grass,0.9032173398567322,1.022118591846943,0.7767614338730678,0.9525030525730623,96
embedding_only,S1_VH,ridge_vh,Ridge (VH) [Embeddings only],shrub_and_scrub,0.7735221961468515,1.5328327842556808,0.9887476881069039,0.8816555609932702,96
embedding_only,S1_VH,ridge_vh,Ridge (VH) [Embeddings only],snow_and_ice,0.8932539650562127,1.0993676328041162,0.8713777540592297,0.9465480732859113,96
embedding_only,S1_VH,ridge_vh,Ridge (VH) [Embeddings only],trees,0.7293544338510092,1.3004395657215253,0.9932933480594887,0.8593029557577427,96
embedding_only,S1_VH,ridge_vh,Ridge (VH) [Embeddings only],water,0.8746208652272773,1.693314504154255,1.349085214456851,0.9381382053447677,96
embedding_only,S1_VV,ridge_vv,Ridge (VV) [Embeddings only],bare,0.41854187722345704,1.6519240785374496,1.0452817252037014,0.6935542980377395,96
embedding_only,S1_VV,ridge_vv,Ridge (VV) [Embeddings only],built,0.7069947421211938,2.2032101282378425,1.2042744752017194,0.8658133720689427,96
embedding_only,S1_VV,ridge_vv,Ridge (VV) [Embeddings only],crops,0.664244206292943,1.2131277390831479,0.8684739743882129,0.8191656788208859,96
embedding_only,S1_VV,ridge_vv,Ridge (VV) [Embeddings only],flooded_vegetation,0.9110882794172543,0.8393657207729315,0.6239070952227902,0.9608803744529532,96
