trial,objective,metric,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,random_state,n_jobs,verbosity,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_best_iteration_mean,cv_best_iteration_std
3,regression,rmse,5000,0.025815006344207535,103,4,44,0.836965827544817,0.5232252063599989,0.071587143831198,0.0007122305833333872,42,1,-1,0.9392860260398491,0.0060428518272289565,1.2204544376345277,0.07025321829065877,0.9188410165413364,0.04738984457396162,2074.75,292.3306133472853
9,regression,rmse,5000,0.01011549101545285,106,8,60,0.9085081386743783,0.5370223258670452,0.0048352585996829555,0.00037961668958008145,42,1,-1,0.9389627857826511,0.00647060882210942,1.2230451966110256,0.06673039531744132,0.9129601359190498,0.04465206678772133,4122.25,546.3837364892919
1,regression,rmse,5000,0.034902854606300035,93,3,78,0.9329770563201687,0.6061695553391381,0.0007151383480402494,0.0008260808399079611,42,1,-1,0.9388489643797788,0.005492434856015973,1.2249052429015856,0.061385774581561824,0.9219413509222284,0.04011131229727157,2431.0,549.8367939670826
7,regression,rmse,5000,0.012020338353108924,31,3,29,0.7554709158757927,0.6356745158869479,0.7838134236608695,0.0060780830996819525,42,1,-1,0.9384702375843528,0.005714271768845938,1.2286506334881557,0.06435958347319211,0.9221609223096346,0.03875832159545971,4952.0,77.3983203952127
4,regression,rmse,5000,0.011448469784568732,122,10,66,0.7218455076693483,0.5488360570031919,0.16413094407760043,0.015876781526923997,42,1,-1,0.9381469810952867,0.005591985875377256,1.2317068725105926,0.058162278622732544,0.9169442752879877,0.03599164629348179,3287.25,277.8995996758542
5,regression,rmse,5000,0.012888771013236352,67,3,74,0.7035119926400067,0.831261142176991,0.0029155533757373392,0.039841905944346875,42,1,-1,0.9381064104807866,0.004996968213181439,1.2322934191092816,0.04980159625579087,0.9274081349669852,0.02915711682069955,4758.25,235.4934977870939
18,regression,rmse,5000,0.024811105429492306,115,5,57,0.898165365847928,0.5410524522319672,4.881992391147632,0.0021458538633891923,42,1,-1,0.9377261917791896,0.004733480562139068,1.2361919699028785,0.04660694934063064,0.9295351982049278,0.029756333249030514,1808.0,21.85177338341216
0,regression,rmse,5000,0.021789307659775742,123,8,50,0.6624074561769746,0.5779972601681014,0.00018747059221802545,2.142302175774105,42,1,-1,0.9374719417765893,0.007333775047431681,1.237348889437514,0.07205199386443219,0.9280814379531476,0.046136801877810295,1891.25,507.74716887443105
16,regression,rmse,5000,0.010231144695192759,83,9,56,0.9353523847892582,0.6454161097716195,0.0001052624999284195,0.14028357089863855,42,1,-1,0.937462611922422,0.006861432909344196,1.2377815016004239,0.06871829973750133,0.9273233696325166,0.04192607710830285,3794.0,866.3547195000441
2,regression,rmse,5000,0.018826002986047252,71,6,27,0.8447411578889518,0.569746930326021,0.002359277035307129,0.0067890532716984855,42,1,-1,0.9373308264649489,0.00648426659705311,1.2394526806968758,0.06664398676696588,0.927706094211341,0.04450483184207325,1851.5,505.6567511662432
14,regression,rmse,5000,0.01595512342944748,88,7,40,0.9880384973854812,0.5062753334611689,0.007857296107970067,0.0007151354905757688,42,1,-1,0.937178768358295,0.006802932501573123,1.240895791087405,0.07185134036594877,0.9277746798733529,0.0421480922081862,2511.25,652.178416922854
11,regression,rmse,5000,0.051013845715778036,99,8,46,0.886588474674238,0.5184256485296856,0.014465130761057701,0.0001197434048216746,42,1,-1,0.9365996501622091,0.006897363926634472,1.246505603502266,0.07052538490822104,0.9383456160673522,0.04631873647457636,878.75,169.4570373280496
10,regression,rmse,5000,0.06804270281850003,8,5,6,0.8262452362725613,0.7134064476916571,3.235444438857017,0.00011462067932126185,42,1,-1,0.9365731669540281,0.004804279213072322,1.2476093064491671,0.047833711127330245,0.9434709048963477,0.028785601168827953,1097.0,144.24111757747858
13,regression,rmse,5000,0.02501040012479745,106,6,54,0.7886369489536518,0.7797445096685005,0.03778113273538321,0.0011604158730155226,42,1,-1,0.9360748627596538,0.007737909243278541,1.2506601497519998,0.07123535155544708,0.942853210510757,0.04426550373503308,2006.75,308.8117347187441
17,regression,rmse,5000,0.01512238688370879,53,7,41,0.7830017044822518,0.7286731288700913,0.0033856113477807614,0.0043150528079474925,42,1,-1,0.9358439645381755,0.007909100497515476,1.2529986187619007,0.07517107062957668,0.9422408707572734,0.0488192019825923,2359.0,616.4778990361293
8,regression,rmse,5000,0.01793532053620138,73,4,65,0.6298202574719083,0.9934434683002586,0.42535839337376785,0.0009853225172032562,42,1,-1,0.9359327879854255,0.006061157754370869,1.2530564846303425,0.051173357781046494,0.9483673591883194,0.0342509607335393,4027.0,695.684195594524
19,regression,rmse,5000,0.04627251573023915,51,9,73,0.8218115974955869,0.6800523213076155,0.0009453315490401586,0.0002824036234487965,42,1,-1,0.9358969588075716,0.006906334751216904,1.2532569171492112,0.06986841654618464,0.9316593561486012,0.039121296404115394,1087.5,196.44910282309766
6,regression,rmse,5000,0.031169409812378798,30,10,63,0.9757995766256756,0.9474136752138245,0.0644932207737863,4.067908494359543,42,1,-1,0.9337806605755474,0.006260473935718517,1.2740623440187402,0.0576049881984617,0.9535928935845309,0.035578040082924166,1684.75,279.21888815049743
12,regression,rmse,5000,0.04197910097106822,100,8,34,0.9045809768629978,0.6728468726241333,0.015937924472273574,0.18340281663501531,42,1,-1,0.9331316784782815,0.007765190741774749,1.2795855968502992,0.07375040739524445,0.9606465096308525,0.041201716839628214,949.5,287.151963252909
15,regression,rmse,5000,0.07831824378165697,114,5,17,0.8543362475797912,0.8323089855073923,0.11309460303490255,0.00027323674606833547,42,1,-1,0.9327116167936583,0.004100704772877551,1.2856263700229684,0.04648702173050284,0.972749717368451,0.03465114112490979,772.5,236.84224707598094
