feature_set,target,model_name,model_label,dw_label_name,r2,rmse,mae,pearson_r,n_test
embedding_only,S1_VH,lightgbm,LightGBM (Embeddings only),bare,0.7397396261013218,1.2010149417407388,0.8923942988063237,0.8622234222507581,96
embedding_only,S1_VH,lightgbm,LightGBM (Embeddings only),built,0.8321985230016191,1.410411754649645,1.0061961535869477,0.9177106730120628,96
embedding_only,S1_VH,lightgbm,LightGBM (Embeddings only),crops,0.8760791478307185,0.9352879290108953,0.7239509670101784,0.9367591266484169,96
embedding_only,S1_VH,lightgbm,LightGBM (Embeddings only),flooded_vegetation,0.9497431097730497,0.7536447552519503,0.5820993586954138,0.9748567185844157,96
embedding_only,S1_VH,lightgbm,LightGBM (Embeddings only),grass,0.8999175089258066,1.039397250835222,0.7890152329086013,0.9492087799652713,96
embedding_only,S1_VH,lightgbm,LightGBM (Embeddings only),shrub_and_scrub,0.8275172614712432,1.337687834610797,0.7988451682508054,0.9115908994919601,96
embedding_only,S1_VH,lightgbm,LightGBM (Embeddings only),snow_and_ice,0.8756094149073806,1.1867543319004574,0.9251618643324123,0.9358915201977279,96
embedding_only,S1_VH,lightgbm,LightGBM (Embeddings only),trees,0.8204769536134138,1.0591313438861012,0.8350541222840638,0.9092238797057008,96
embedding_only,S1_VH,lightgbm,LightGBM (Embeddings only),water,0.8882207835006214,1.5988419133696172,1.194561396710087,0.9428470047740776,96
embedding_plus_context,S1_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),bare,0.79166131632125,1.074556718130484,0.7748607215161899,0.8912813633812966,96
embedding_plus_context,S1_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),built,0.8566306318118364,1.3036956453557829,0.934546571486019,0.9316590360789782,96
embedding_plus_context,S1_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),crops,0.8956190860673755,0.8583880860098166,0.703985934278161,0.9495595059029576,96
embedding_plus_context,S1_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),flooded_vegetation,0.925430173344149,0.9180164045545537,0.6934547465296984,0.9628340379767043,96
embedding_plus_context,S1_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),grass,0.8958462241599432,1.0603274873655644,0.7889137488282475,0.9467725173671881,96
embedding_plus_context,S1_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),shrub_and_scrub,0.8118187102593948,1.3972373242441096,0.8840418192201005,0.9038150653079774,96
embedding_plus_context,S1_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),snow_and_ice,0.873413046485618,1.1971857653889457,0.9261064207456116,0.9361441549194284,96
embedding_plus_context,S1_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),trees,0.8430949140058586,0.9901664949451137,0.784021351085651,0.9199457808765789,96
embedding_plus_context,S1_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),water,0.8908802664577055,1.579707363456362,1.2300496130993261,0.9446374202104265,96
embedding_only,S1_VV,lightgbm,LightGBM (Embeddings only),bare,0.665066627073308,1.2537474828789659,0.8629357305104408,0.8308397884666524,96
embedding_only,S1_VV,lightgbm,LightGBM (Embeddings only),built,0.7342686923529191,2.098164694149138,1.2261939539076947,0.8710400901022823,96
embedding_only,S1_VV,lightgbm,LightGBM (Embeddings only),crops,0.7695668541352206,1.0050027497179541,0.776699427141048,0.8782267769733092,96
embedding_only,S1_VV,lightgbm,LightGBM (Embeddings only),flooded_vegetation,0.9238557754129546,0.7767659965584455,0.5446899709422879,0.9621618984657854,96
embedding_only,S1_VV,lightgbm,LightGBM (Embeddings only),grass,0.857230973363952,0.9802248035843812,0.7162916830868239,0.9282261449670638,96
embedding_only,S1_VV,lightgbm,LightGBM (Embeddings only),shrub_and_scrub,0.7838528690923161,1.3567809456861049,0.8878639253157967,0.8910726655205478,96
embedding_only,S1_VV,lightgbm,LightGBM (Embeddings only),snow_and_ice,0.8913509240523682,1.0471420238970317,0.7673185137667321,0.9450201649209171,96
embedding_only,S1_VV,lightgbm,LightGBM (Embeddings only),trees,0.8589670344876342,0.9005220034162148,0.7237156698876963,0.9284192705101025,96
embedding_only,S1_VV,lightgbm,LightGBM (Embeddings only),water,0.8412210750419608,1.5036950453025024,1.0020690060044528,0.9234037723035597,96
embedding_plus_context,S1_VV,lightgbm,LightGBM (Embeddings + region + Dynamic World),bare,0.6989451661632093,1.1886490975929502,0.825711823228656,0.84878694037347,96
embedding_plus_context,S1_VV,lightgbm,LightGBM (Embeddings + region + Dynamic World),built,0.73199046955883,2.1071397090836093,1.2326243831608052,0.8720355572861835,96
embedding_plus_context,S1_VV,lightgbm,LightGBM (Embeddings + region + Dynamic World),crops,0.7819093559713041,0.977717284892497,0.7236705384477715,0.8852890830998794,96
embedding_plus_context,S1_VV,lightgbm,LightGBM (Embeddings + region + Dynamic World),flooded_vegetation,0.9171534889214267,0.8102309586675299,0.5592690481343702,0.9581598579606928,96
embedding_plus_context,S1_VV,lightgbm,LightGBM (Embeddings + region + Dynamic World),grass,0.8579851544250281,0.9776323439790657,0.6906842747800136,0.929448322515468,96
embedding_plus_context,S1_VV,lightgbm,LightGBM (Embeddings + region + Dynamic World),shrub_and_scrub,0.7875558754327272,1.345108634546917,0.893896619564166,0.8926768741390765,96
embedding_plus_context,S1_VV,lightgbm,LightGBM (Embeddings + region + Dynamic World),snow_and_ice,0.8977307413328983,1.0159331331980277,0.7611762840962178,0.9476124446723765,96
embedding_plus_context,S1_VV,lightgbm,LightGBM (Embeddings + region + Dynamic World),trees,0.8469332601310562,0.9381546296232857,0.7444784733217222,0.9232234677027712,96
embedding_plus_context,S1_VV,lightgbm,LightGBM (Embeddings + region + Dynamic World),water,0.8499141125163098,1.4619525224965204,0.9884244704467818,0.9307107595807159,96
embedding_only,S1_VV_div_VH,lightgbm,LightGBM (Embeddings only),bare,0.5474548987114609,1.0466631175470866,0.7798843802252414,0.7481398418662573,96
embedding_only,S1_VV_div_VH,lightgbm,LightGBM (Embeddings only),built,0.46318756999084876,1.846174429212143,1.126227450904577,0.7119020009413737,96
embedding_only,S1_VV_div_VH,lightgbm,LightGBM (Embeddings only),crops,0.5316698322825744,1.0004597636425145,0.7817002252029125,0.7336397837156883,96
embedding_only,S1_VV_div_VH,lightgbm,LightGBM (Embeddings only),flooded_vegetation,0.6627611925873047,0.822188931249579,0.6180920493705903,0.83185997691051,96
embedding_only,S1_VV_div_VH,lightgbm,LightGBM (Embeddings only),grass,0.6471346564333214,0.9562083189948754,0.7082763819338195,0.8104120572648152,96
embedding_only,S1_VV_div_VH,lightgbm,LightGBM (Embeddings only),shrub_and_scrub,0.3778036197692132,0.9315240007642458,0.757020848747795,0.6347656934642346,96
embedding_only,S1_VV_div_VH,lightgbm,LightGBM (Embeddings only),snow_and_ice,0.6614829582037086,1.0338865514827378,0.7604309982681642,0.8200259361245963,96
embedding_only,S1_VV_div_VH,lightgbm,LightGBM (Embeddings only),trees,0.3578141644188636,0.6004819376548395,0.48293412019713244,0.6415661089279927,96
embedding_only,S1_VV_div_VH,lightgbm,LightGBM (Embeddings only),water,0.7244118993968378,1.508641233563587,1.1520869180703879,0.8539384587205434,96
embedding_plus_context,S1_VV_div_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),bare,0.5888053346685893,0.9976994263090759,0.7336450620464666,0.7772844254637639,96
embedding_plus_context,S1_VV_div_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),built,0.428003682739326,1.905715498660664,1.15625996793526,0.6775730181210577,96
embedding_plus_context,S1_VV_div_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),crops,0.5397344891594359,0.9918083869516311,0.798315932460767,0.7378447501280672,96
embedding_plus_context,S1_VV_div_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),flooded_vegetation,0.6478595415943729,0.8401577076637423,0.6216555715644402,0.8184615701417496,96
embedding_plus_context,S1_VV_div_VH,lightgbm,LightGBM (Embeddings + region + Dynamic World),grass,0.6711657072248051,0.9230740999137288,0.7079567899013162,0.8241890870802827,96
