trial,objective,metric,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,random_state,n_jobs,verbosity,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_best_iteration_mean,cv_best_iteration_std
7,regression,rmse,5000,0.012020338353108924,31,3,29,0.7554709158757927,0.6356745158869479,0.7838134236608695,0.0060780830996819525,42,1,-1,0.9018681827523012,0.01775765905998381,1.1642405516262748,0.06786387764970374,0.8438319514772954,0.02742362041109757,4771.25,387.55991472287224
11,regression,rmse,5000,0.04704308583989069,44,3,27,0.9687557027925864,0.6773392955135671,0.0002082981457429127,0.002911492574913863,42,1,-1,0.8993133479122257,0.018889480228008317,1.177989024839781,0.0530586922248947,0.8485887720342099,0.02521896254555459,1696.5,324.983461117639
1,regression,rmse,5000,0.034902854606300035,93,3,78,0.9329770563201687,0.6061695553391381,0.0007151383480402494,0.0008260808399079611,42,1,-1,0.899089694215159,0.01845517864461195,1.179931632484856,0.05704187734841003,0.8516767055631076,0.038206425150956055,2601.5,454.3569631908374
3,regression,rmse,5000,0.025815006344207535,103,4,44,0.836965827544817,0.5232252063599989,0.071587143831198,0.0007122305833333872,42,1,-1,0.8978527862540204,0.019087613143763782,1.186964522967426,0.06312099510679145,0.8572647092010222,0.0386187915095144,2077.25,693.1303539017752
2,regression,rmse,5000,0.018826002986047252,71,6,27,0.8447411578889518,0.569746930326021,0.002359277035307129,0.0067890532716984855,42,1,-1,0.8968471316351649,0.02160746716965773,1.1903052954580544,0.06919522919014653,0.8557750619687328,0.04117577414590056,2022.5,147.89269758848812
13,regression,rmse,5000,0.04663943556681405,39,3,22,0.9931430350980055,0.7574852070104715,0.0001038051444916739,0.00010977211675919187,42,1,-1,0.8965516446267576,0.0202881733461274,1.1936469395740974,0.07016843725696116,0.8599905578312809,0.037635212783282995,1712.0,225.04999444567866
10,regression,rmse,5000,0.07137454446124092,8,6,6,0.7681616032737589,0.6901464801259053,3.6509215470185543,0.2414692864254169,42,1,-1,0.8961135285105826,0.01897614373329406,1.197705516181219,0.07023763205420723,0.8614407991374082,0.03181740674450877,1011.25,56.64086422363275
5,regression,rmse,5000,0.012888771013236352,67,3,74,0.7035119926400067,0.831261142176991,0.0029155533757373392,0.039841905944346875,42,1,-1,0.896047278567317,0.017381659613446433,1.198831906795415,0.045536236243677836,0.8640997757281271,0.02677821098214246,4823.75,229.66320449736827
15,regression,rmse,5000,0.03977538911989546,56,4,35,0.7977779145544659,0.7830187234183987,0.5974462794512296,0.003986002617217692,42,1,-1,0.8949416573954894,0.020662832746655473,1.2033216706574588,0.07690756589592322,0.8709183086297093,0.04108445211957831,2081.25,543.7583907398579
17,regression,rmse,5000,0.055148190437876,9,5,16,0.6037036944396195,0.643953013493361,0.011844212938343684,0.22328246493424825,42,1,-1,0.893471091590632,0.022015675059581446,1.2102707578238532,0.07732490680155697,0.8695363842661717,0.04678134659449082,1524.0,412.34876015334396
12,regression,rmse,5000,0.04874778651871577,38,5,28,0.7719558699472135,0.6929964536410342,3.4861120173359503,0.004333356321199656,42,1,-1,0.8929479806539988,0.020992572443291467,1.2138712153312354,0.05682709240373626,0.8760800372566688,0.021818301249725613,727.75,12.173228823939851
9,regression,rmse,5000,0.01011549101545285,106,8,60,0.9085081386743783,0.5370223258670452,0.0048352585996829555,0.00037961668958008145,42,1,-1,0.8927653416650491,0.021473631732321176,1.2147210429133493,0.06778574616223913,0.8664124795186874,0.049103064386823506,3321.5,961.3491821393515
4,regression,rmse,5000,0.011448469784568732,122,10,66,0.7218455076693483,0.5488360570031919,0.16413094407760043,0.015876781526923997,42,1,-1,0.8927047014986158,0.021240554051964115,1.215187911156225,0.06495978324781637,0.8639492327507036,0.041870179820358254,3673.5,797.5952921124848
8,regression,rmse,5000,0.01793532053620138,73,4,65,0.6298202574719083,0.9934434683002586,0.42535839337376785,0.0009853225172032562,42,1,-1,0.8918664667440933,0.018568191589405918,1.22199076619813,0.04163670979521081,0.8912348613391845,0.02902810389276747,2705.0,401.7685901112729
0,regression,rmse,5000,0.021789307659775742,123,8,50,0.6624074561769746,0.5779972601681014,0.00018747059221802545,2.142302175774105,42,1,-1,0.8903506568354087,0.023515615912168067,1.2267872500262484,0.0753986112859015,0.8765006132493338,0.04939335748608939,1652.5,530.3633188673591
18,regression,rmse,5000,0.024811105429492306,45,7,51,0.9341031264652985,0.7149830029176168,1.5758020750188984,0.002734941865782878,42,1,-1,0.8882955364986889,0.022022044550683684,1.240418422659229,0.07504442571733685,0.8880709391484768,0.04704952457195672,1479.5,397.82188225385494
14,regression,rmse,5000,0.06474510792737351,20,5,15,0.8739611196579737,0.651723150444279,0.014841007627479039,0.05372195476242149,42,1,-1,0.8876480583411905,0.020937705451057345,1.2452047488181472,0.07489308091005806,0.8945017935166768,0.0336033369286009,596.0,50.82814181140208
19,regression,rmse,5000,0.07959317053717352,25,3,5,0.8337485853104467,0.6428083477594306,0.044678665617496074,0.015642156270693302,42,1,-1,0.8875380344698097,0.016911140124190652,1.2492202851898742,0.06104261083956504,0.91031875754497,0.022453027136849504,886.5,79.62568681022475
16,regression,rmse,5000,0.015674587374374393,52,8,40,0.722497702919922,0.8441471935044275,0.0005719788553918823,0.22128281611509162,42,1,-1,0.8861307175826251,0.02485974873035672,1.2499917588274232,0.08434386515347168,0.8927942602800523,0.05206696599709025,2540.75,849.4817169898361
6,regression,rmse,5000,0.031169409812378798,30,10,63,0.9757995766256756,0.9474136752138245,0.0644932207737863,4.067908494359543,42,1,-1,0.8853434922097598,0.02275669230140293,1.2564623784502742,0.07298474261438115,0.9046496061653446,0.05045120124050886,1496.25,507.72451930155984
