feature_set,target,train_r2,train_rmse,train_mae,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,stability_r2_mean,stability_r2_std,stability_rmse_mean,stability_rmse_std,best_params,r2,rmse,mae,pearson_r
embedding_only,S1_VH,0.9935061869402191,0.40146173080605585,0.3084767659408624,0.9309412461754537,0.015744279387411957,1.2383432554861138,0.03417950105229895,0.922962650233101,0.008882533181174677,0.9338979650450123,0.011544992055482574,1.2456805026270403,0.0721340799343517,"{""colsample_bytree"": 0.5232252063599989, ""learning_rate"": 0.025815006344207535, ""max_depth"": 4, ""metric"": ""rmse"", ""min_child_samples"": 44, ""n_estimators"": 1872, ""n_jobs"": 1, ""num_leaves"": 103, ""objective"": ""regression"", ""random_state"": 42, ""reg_alpha"": 0.071587143831198, ""reg_lambda"": 0.0007122305833333872, ""subsample"": 0.836965827544817, ""verbosity"": -1}",0.9423642664636698,1.1822269452475758,0.8581295087337338,0.9708842646325484
embedding_plus_context,S1_VH,0.9928505390714027,0.4212412667046197,0.3238717466595957,0.929676868786108,0.013120733459192601,1.2558427423168799,0.048930253588203305,0.9466983936916418,0.02765464463683878,0.9329962225462857,0.00999573883818207,1.2567292702173303,0.07708791801380113,"{""colsample_bytree"": 0.6061695553391381, ""learning_rate"": 0.034902854606300035, ""max_depth"": 3, ""metric"": ""rmse"", ""min_child_samples"": 78, ""n_estimators"": 2685, ""n_jobs"": 1, ""num_leaves"": 93, ""objective"": ""regression"", ""random_state"": 42, ""reg_alpha"": 0.0007151383480402494, ""reg_lambda"": 0.0008260808399079611, ""subsample"": 0.9329770563201687, ""verbosity"": -1}",0.9406937091965094,1.199237837224947,0.8811643448615548,0.9699526953562347
embedding_only,S1_VV,0.9956058704884319,0.25470641462363464,0.19835934450502857,0.9029894273655628,0.01981300104503278,1.1547737062448844,0.06280610911387757,0.8355730454602841,0.03730941800835448,0.906691591316653,0.01574053555162712,1.1492775938091364,0.062196745304849664,"{""colsample_bytree"": 0.5232252063599989, ""learning_rate"": 0.025815006344207535, ""max_depth"": 4, ""metric"": ""rmse"", ""min_child_samples"": 44, ""n_estimators"": 2796, ""n_jobs"": 1, ""num_leaves"": 103, ""objective"": ""regression"", ""random_state"": 42, ""reg_alpha"": 0.071587143831198, ""reg_lambda"": 0.0007122305833333872, ""subsample"": 0.836965827544817, ""verbosity"": -1}",0.9022356516400781,1.2549378649710865,0.8251533450768024,0.9507947065313896
embedding_plus_context,S1_VV,0.9886060293424133,0.4101483836239884,0.31775241946096483,0.9018681827523012,0.01775765905998381,1.1642405516262748,0.06786387764970374,0.8438319514772954,0.02742362041109757,0.9035527549724489,0.016278245349540595,1.168361544127215,0.07040812594719169,"{""colsample_bytree"": 0.6356745158869479, ""learning_rate"": 0.012020338353108924, ""max_depth"": 3, ""metric"": ""rmse"", ""min_child_samples"": 29, ""n_estimators"": 4771, ""n_jobs"": 1, ""num_leaves"": 31, ""objective"": ""regression"", ""random_state"": 42, ""reg_alpha"": 0.7838134236608695, ""reg_lambda"": 0.0060780830996819525, ""subsample"": 0.7554709158757927, ""verbosity"": -1}",0.9014788024323789,1.25978609233291,0.8245155739491984,0.9506389331719303
embedding_plus_context,S1_VV_div_VH,0.9172544328162132,0.5910745376505194,0.44752986733456274,0.6956194371987953,0.0967966963739718,1.0497137681121902,0.06356942623375236,0.7920815176336862,0.042106075332826905,0.7146126704087856,0.06922672302214443,1.05891244159793,0.06013529189621983,"{""colsample_bytree"": 0.5232252063599989, ""learning_rate"": 0.025815006344207535, ""max_depth"": 4, ""metric"": ""rmse"", ""min_child_samples"": 44, ""n_estimators"": 799, ""n_jobs"": 1, ""num_leaves"": 103, ""objective"": ""regression"", ""random_state"": 42, ""reg_alpha"": 0.071587143831198, ""reg_lambda"": 0.0007122305833333872, ""subsample"": 0.836965827544817, ""verbosity"": -1}",0.69846421819823,1.1551532187342965,0.7983941263016366,0.8360714832097736
embedding_only,S1_VV_div_VH,0.9063285408589906,0.6288883147683152,0.47535531570496625,0.6963580376493926,0.10136313602929876,1.0450249971555803,0.047935266318377794,0.7853888763082015,0.0237875905883247,0.7129273451281972,0.0706865886437982,1.061449866527593,0.051145192633178745,"{""colsample_bytree"": 0.6356745158869479, ""learning_rate"": 0.012020338353108924, ""max_depth"": 3, ""metric"": ""rmse"", ""min_child_samples"": 29, ""n_estimators"": 2523, ""n_jobs"": 1, ""num_leaves"": 31, ""objective"": ""regression"", ""random_state"": 42, ""reg_alpha"": 0.7838134236608695, ""reg_lambda"": 0.0060780830996819525, ""subsample"": 0.7554709158757927, ""verbosity"": -1}",0.6980774028309116,1.1558939066306506,0.8081635430311622,0.8356477143056934
