trial,objective,metric,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,random_state,n_jobs,verbosity,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_best_iteration_mean,cv_best_iteration_std
3,regression,rmse,5000,0.025815006344207535,103,4,44,0.836965827544817,0.5232252063599989,0.071587143831198,0.0007122305833333872,42,1,-1,0.9309412461754537,0.015744279387411957,1.2383432554861138,0.03417950105229895,0.922962650233101,0.008882533181174677,1872.25,462.4891214936844
9,regression,rmse,5000,0.01011549101545285,106,8,60,0.9085081386743783,0.5370223258670452,0.0048352585996829555,0.00037961668958008145,42,1,-1,0.9312674601986652,0.014468069184680611,1.238416877143015,0.0331438655618588,0.9186947809404173,0.016542895560377767,4228.75,535.6945841615351
14,regression,rmse,5000,0.01595512342944748,88,7,40,0.9880384973854812,0.5062753334611689,0.007857296107970067,0.0007151354905757688,42,1,-1,0.9304506600093837,0.016271318528769292,1.241811055154002,0.026271758371433238,0.9277280116615205,0.010851712265836165,1909.25,261.70916586929087
4,regression,rmse,5000,0.011448469784568732,122,10,66,0.7218455076693483,0.5488360570031919,0.16413094407760043,0.015876781526923997,42,1,-1,0.9304821110765741,0.013665386527600496,1.2475328986104497,0.04207794682148587,0.9245912675895194,0.02092394473290327,3707.25,354.92067775772097
2,regression,rmse,5000,0.018826002986047252,71,6,27,0.8447411578889518,0.569746930326021,0.002359277035307129,0.0067890532716984855,42,1,-1,0.9297829064320394,0.015804095637065318,1.2487355323515583,0.03078885674714316,0.9319717744507365,0.015300289519551738,1802.75,415.01709302148026
18,regression,rmse,5000,0.024811105429492306,115,5,57,0.898165365847928,0.5410524522319672,4.881992391147632,0.0021458538633891923,42,1,-1,0.9296373285665851,0.016230778795163683,1.250330056343905,0.02800566430758358,0.9306050335362746,0.006108766276053521,1798.25,40.71470864441989
7,regression,rmse,5000,0.012020338353108924,31,3,29,0.7554709158757927,0.6356745158869479,0.7838134236608695,0.0060780830996819525,42,1,-1,0.9292598083531771,0.015413327971109534,1.2545180231724382,0.04185201266147621,0.9426086761352171,0.02816462961991727,4669.5,377.8124534739425
0,regression,rmse,5000,0.021789307659775742,123,8,50,0.6624074561769746,0.5779972601681014,0.00018747059221802545,2.142302175774105,42,1,-1,0.9292874513757736,0.015115912535019767,1.2550465944705245,0.03517534322527283,0.9366151481835318,0.017032254183174646,1618.75,195.06072772344515
1,regression,rmse,5000,0.034902854606300035,93,3,78,0.9329770563201687,0.6061695553391381,0.0007151383480402494,0.0008260808399079611,42,1,-1,0.929267870571475,0.014285207707033006,1.2572307844173378,0.04184453849532704,0.9362688918848543,0.027506534132903385,2533.25,409.9923017569964
16,regression,rmse,5000,0.010231144695192759,83,9,56,0.9353523847892582,0.6454161097716195,0.0001052624999284195,0.14028357089863855,42,1,-1,0.9288430752882852,0.01568501628271771,1.258187345313687,0.029288005031040787,0.9367979666533996,0.01481937683045542,3417.0,918.6884673272001
17,regression,rmse,5000,0.01512238688370879,53,7,41,0.7830017044822518,0.7286731288700913,0.0033856113477807614,0.0043150528079474925,42,1,-1,0.9278027298289755,0.015874324496712795,1.266834490302968,0.03894178412317547,0.950680103076812,0.029601362235227194,2352.25,335.71518806869614
11,regression,rmse,5000,0.051013845715778036,99,8,46,0.886588474674238,0.5184256485296856,0.014465130761057701,0.0001197434048216746,42,1,-1,0.9276329718858599,0.015212158074759745,1.2707698797958775,0.03431871420348459,0.9465186108640566,0.020027624633933677,897.0,209.67474812194243
5,regression,rmse,5000,0.012888771013236352,67,3,74,0.7035119926400067,0.831261142176991,0.0029155533757373392,0.039841905944346875,42,1,-1,0.9262081403565134,0.015426320777465127,1.2830680835979364,0.03869387109103477,0.9569229048296444,0.02437308474122056,4530.75,181.06956536094077
12,regression,rmse,5000,0.04197910097106822,100,8,34,0.9045809768629978,0.6728468726241333,0.015937924472273574,0.18340281663501531,42,1,-1,0.9256111609506584,0.017878281071054183,1.2831253166842154,0.022645351201992903,0.9628308300666618,0.02635277377959699,1045.25,181.1606676406333
8,regression,rmse,5000,0.01793532053620138,73,4,65,0.6298202574719083,0.9934434683002586,0.42535839337376785,0.0009853225172032562,42,1,-1,0.9264459186360892,0.013979886449389444,1.283628419717866,0.05077520605249266,0.960499452078016,0.02455085724867274,2875.5,443.0025394961072
13,regression,rmse,5000,0.02501040012479745,106,6,54,0.7886369489536518,0.7797445096685005,0.03778113273538321,0.0011604158730155226,42,1,-1,0.9258590912628475,0.01584062944425991,1.2852569447950357,0.035733176234609025,0.955767784561614,0.021733597087092566,1733.0,727.0770248054879
10,regression,rmse,5000,0.06804270281850003,8,5,6,0.8262452362725613,0.7134064476916571,3.235444438857017,0.00011462067932126185,42,1,-1,0.9254413951771663,0.016216724280583197,1.2878689530799643,0.0491574918968683,0.9660903703860204,0.038782469824009035,1201.5,56.870466852312724
6,regression,rmse,5000,0.031169409812378798,30,10,63,0.9757995766256756,0.9474136752138245,0.0644932207737863,4.067908494359543,42,1,-1,0.9257359297235377,0.014283998489486307,1.2894927042250144,0.0490190590316857,0.9635423199106017,0.034845699035926894,1435.0,237.8581510060145
19,regression,rmse,5000,0.04627251573023915,51,9,73,0.8218115974955869,0.6800523213076155,0.0009453315490401586,0.0002824036234487965,42,1,-1,0.9257543771868966,0.013893478748180983,1.291032572830964,0.058564275324300356,0.9625010716411189,0.03280630377566823,930.0,266.1850859834187
15,regression,rmse,5000,0.07831824378165697,114,5,17,0.8543362475797912,0.8323089855073923,0.11309460303490255,0.00027323674606833547,42,1,-1,0.9231139692430909,0.017099922528850155,1.308232412456087,0.028802140581146447,0.9906901509357707,0.024168066196435876,720.5,214.2025910207437
