feature_set,target,dw_label_name,r2,rmse,mae,pearson_r,n_test
embedding_only,S1_VH,bare,0.7484289176822996,1.1807956508692385,0.892226201046045,0.8662015045409769,96
embedding_only,S1_VH,built,0.8448960527704052,1.3559992656836595,0.9584955809361223,0.9271246508061691,96
embedding_only,S1_VH,crops,0.8737012791720297,0.9442187269200049,0.7321921866322714,0.9361471888797732,96
embedding_only,S1_VH,flooded_vegetation,0.9476802628019895,0.7689562870041572,0.6076870297460085,0.9739477857927692,96
embedding_only,S1_VH,grass,0.9023471785136217,1.0267031831453022,0.7743129857798948,0.9509486552092321,96
embedding_only,S1_VH,shrub_and_scrub,0.8171528828752279,1.377291974030928,0.7966801422923263,0.9060316092392949,96
embedding_only,S1_VH,snow_and_ice,0.875983959724264,1.1849663035524458,0.9344929312813012,0.9360410702211015,96
embedding_only,S1_VH,trees,0.8157845901068093,1.0728838166040986,0.8568009626970041,0.9047220817292145,96
embedding_only,S1_VH,water,0.8969435875863492,1.5351913121472227,1.170277558192631,0.9475249374799407,96
embedding_plus_context,S1_VH,bare,0.7666521994408084,1.137224589648373,0.8499374277763826,0.8770525060613381,96
embedding_plus_context,S1_VH,built,0.8529877243819373,1.3201547092627646,0.9669627635138904,0.9295076782021482,96
embedding_plus_context,S1_VH,crops,0.893006554153309,0.8690639217023846,0.7002138393495566,0.9463288052700154,96
embedding_plus_context,S1_VH,flooded_vegetation,0.9296367371514134,0.8917474173475728,0.691028817253429,0.9645899646298173,96
embedding_plus_context,S1_VH,grass,0.8809856935923431,1.1334492920052939,0.8275705271385551,0.9390664109887887,96
embedding_plus_context,S1_VH,shrub_and_scrub,0.8121048862431137,1.3961744983335398,0.9141660195203126,0.9030865224103684,96
embedding_plus_context,S1_VH,snow_and_ice,0.8706542638910157,1.2101609330253384,0.9632771328812928,0.933467936895626,96
embedding_plus_context,S1_VH,trees,0.8261105939761142,1.0423804992892414,0.8122413972917347,0.9099637839716572,96
embedding_plus_context,S1_VH,water,0.8875379355203001,1.6037180598795715,1.2050811790288396,0.9430017701348741,96
embedding_only,S1_VV,bare,0.6923052272269663,1.2016857793035924,0.8371176645892021,0.8466687062549516,96
embedding_only,S1_VV,built,0.7412333625254344,2.070486264522736,1.2268515611021764,0.8764393048471726,96
embedding_only,S1_VV,crops,0.7691945586547841,1.0058142800569836,0.7715518093515638,0.8779138377103554,96
embedding_only,S1_VV,flooded_vegetation,0.9300680020758082,0.7444056994439698,0.5282410243060739,0.965408675385698,96
embedding_only,S1_VV,grass,0.8631163148266576,0.9598083697330796,0.6968834611106146,0.9308024428157673,96
embedding_only,S1_VV,shrub_and_scrub,0.7808236680590417,1.3662551923562731,0.902353474163776,0.8891033692623607,96
embedding_only,S1_VV,snow_and_ice,0.8968350794995965,1.0203721452293502,0.7371401522416022,0.9475747738911017,96
embedding_only,S1_VV,trees,0.861039590695222,0.8938806831107567,0.7150220262899394,0.9296933030459392,96
embedding_only,S1_VV,water,0.8420713954205259,1.4996632160942147,1.0112189325362728,0.9225839036352013,96
embedding_plus_context,S1_VV,bare,0.6989241268633013,1.1886906314019534,0.8258129674454219,0.8487687657449996,96
embedding_plus_context,S1_VV,built,0.7318761775611511,2.107588953438021,1.2329053668826204,0.8719815506388389,96
embedding_plus_context,S1_VV,crops,0.7818913448843285,0.9777576566094323,0.7237736136808031,0.8852716496214608,96
embedding_plus_context,S1_VV,flooded_vegetation,0.9171208838860853,0.8103903800480078,0.5593141861874061,0.9581434260556555,96
embedding_plus_context,S1_VV,grass,0.8579944771288202,0.9776002546354987,0.6905939987108812,0.9294512924022138,96
embedding_plus_context,S1_VV,shrub_and_scrub,0.7875600487209278,1.3450954227116332,0.8939065151680281,0.8926831110420552,96
embedding_plus_context,S1_VV,snow_and_ice,0.8976977333251561,1.0160970691831972,0.7611282988109352,0.947597004606865,96
embedding_plus_context,S1_VV,trees,0.8467500009283957,0.9387160645923407,0.7449241754028714,0.9231195285325967,96
embedding_plus_context,S1_VV,water,0.849916954196013,1.4619386823529041,0.9882810432538175,0.9307122156575898,96
embedding_only,S1_VV_div_VH,bare,0.5448128310976945,1.0497140071210342,0.7850253522205205,0.7461434420796533,96
embedding_only,S1_VV_div_VH,built,0.44482542490417576,1.877483954496842,1.1457833515171876,0.6994160730018213,96
embedding_only,S1_VV_div_VH,crops,0.5265578294857945,1.0059051447379215,0.7828559255753355,0.7294892563073293,96
embedding_only,S1_VV_div_VH,flooded_vegetation,0.6539250569365,0.8328905439191264,0.6249470825927971,0.8264793376162188,96
embedding_only,S1_VV_div_VH,grass,0.6342966346483411,0.9734474077086769,0.7131164917140742,0.8004776780464375,96
embedding_only,S1_VV_div_VH,shrub_and_scrub,0.3289129068283112,0.9674304484037889,0.7753786765875911,0.6112743571641385,96
embedding_only,S1_VV_div_VH,snow_and_ice,0.6595680149263701,1.0368067029639225,0.7724989472803818,0.8179164989174301,96
embedding_only,S1_VV_div_VH,trees,0.31403249455674676,0.6206137009949846,0.49126849955849067,0.6088628225618555,96
embedding_only,S1_VV_div_VH,water,0.7156006063986975,1.5325691379922728,1.182597560234083,0.8486826058699654,96
embedding_plus_context,S1_VV_div_VH,bare,0.5857173927536357,1.001438623000369,0.7400749521541782,0.7767462835807206,96
embedding_plus_context,S1_VV_div_VH,built,0.41934879208974285,1.920079083260941,1.1453877146269946,0.678968216281804,96
