system:index,bare,built,crops,flooded_vegetation,grass,label_mode,latitude,longitude,shrub_and_scrub,snow_and_ice,trees,water,.geo
0_0,0.0372051449958235,0.03516769502311945,0.037381947273388505,0.025367327965795994,0.04015151038765907,1,37.28471061467336,-121.52611284507813,0.1992284096777439,0.026017902651801705,0.5445636445656419,0.038105260813608766,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.52611284507813,37.28471061467336]}"
1_0,0.09999707713723183,0.05013455543667078,0.06361115747131407,0.031410768860951066,0.04918925114907324,5,37.61331434560428,-121.54255201477753,0.45709285512566566,0.04335616622120142,0.11916275345720351,0.023362294072285295,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.54255201477753,37.61331434560428]}"
2_0,0.09627113048918545,0.04005699942354113,0.08299485221505165,0.024837896809913218,0.054414897807873785,5,37.29432258821343,-121.36908733341404,0.5030821362743154,0.04002330941148102,0.11568179645109922,0.02956994262058288,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.36908733341404,37.29432258821343]}"
3_0,0.05406863347161561,0.03920339629985392,0.08139313058927655,0.031273048487491906,0.04345153574831784,5,37.427183418734714,-121.38705363909644,0.36962897051125765,0.042148715001530945,0.2777414076263085,0.03257935540750623,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.38705363909644,37.427183418734714]}"
4_0,0.06916012190049514,0.06232919974718243,0.5401196998427622,0.03241531684761867,0.09270485606975853,4,37.56579346707436,-121.0283563461475,0.05319882424858709,0.040950508788228035,0.04339730041101575,0.03802047943463549,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.0283563461475,37.56579346707436]}"
5_0,0.04004151467233896,0.03586936369538307,0.05953016225248575,0.02627450251020491,0.0803423523902893,1,37.08321849644535,-121.39989954765934,0.17850676574744284,0.031044056871905923,0.487563461298123,0.034734093584120274,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.39989954765934,37.08321849644535]}"
6_0,0.30629171524196863,0.030141995288431644,0.08911595121026039,0.034100004471838474,0.06328062061220407,5,37.684460916106545,-121.49673793528743,0.3190381193999201,0.03229308151639998,0.038135052658617496,0.04552404605783522,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.49673793528743,37.684460916106545]}"
7_0,0.19961011805571616,0.042546624317765236,0.07684913848061115,0.03877847280818969,0.14000509132165462,5,37.60702613861544,-121.70811152164075,0.32473481190390885,0.0370966891059652,0.0445109698921442,0.033382483990862966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.70811152164075,37.60702613861544]}"
8_0,0.05017558314527074,0.0605621337890625,0.4767036890843883,0.0272630846593529,0.14599108754191548,4,37.65355887033283,-121.76650201510851,0.10599373925166826,0.035927193239331245,0.03831703553441912,0.03976414317730814,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.76650201510851,37.65355887033283]}"
9_0,0.18136764410883188,0.03190488461405039,0.14338499307632446,0.03060470917262137,0.09305776655673981,5,37.62310598220118,-121.53662313390234,0.38771220692433417,0.03779018297791481,0.033830040134489536,0.03517914190888405,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.53662313390234,37.62310598220118]}"
10_0,0.20720046118367463,0.03833795734681189,0.08849358896259218,0.030269363895058632,0.10600026929751039,5,37.59759382813218,-121.73991188269858,0.3655714114429429,0.03651098080445081,0.03534249879885465,0.024107472621835768,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.73991188269858,37.59759382813218]}"
11_0,0.05597013526130468,0.03818276268430054,0.039819674217142165,0.028383448952808976,0.03980114602018148,1,37.57271049476208,-121.5447079714594,0.33944506861735135,0.039372636238113046,0.3636531709926203,0.021000562701374292,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5447079714594,37.57271049476208]}"
12_0,0.14535621646791697,0.0335443785879761,0.05835951864719391,0.0293734073638916,0.0788442799821496,5,37.430776679871194,-121.32767499881614,0.5273832122329623,0.027973093325272202,0.05559884221293032,0.028080382384359837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.32767499881614,37.430776679871194]}"
13_0,0.08641590100402634,0.04590248712338507,0.2759070545434952,0.0403046227293089,0.14487969549372792,4,37.082230349632816,-121.0208104977609,0.1741779369302094,0.04224261725321412,0.10906745411921293,0.029152432611833017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.0208104977609,37.082230349632816]}"
14_0,0.03253763366956264,0.7130347011843696,0.03201129904482514,0.03325730899814516,0.030046707252040505,6,37.39161013348358,-121.95209395280762,0.032813428551889956,0.030619694152846932,0.055617925827391446,0.04105557920411229,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.95209395280762,37.39161013348358]}"
15_0,0.07364939246326685,0.039785497123375535,0.0765397590585053,0.029094995581544936,0.07685338729061186,5,37.58322078358628,-121.123757429321,0.3759268494322896,0.03389756474643946,0.1874370314180851,0.035546509781852365,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.123757429321,37.58322078358628]}"
