system:index,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,.geo
0,0.186082276047674,0.186082276047674,-0.06698961937716265,5.536332179930795E-4,0.10340638216070744,0.07111111111111111,0.024605920799692427,0.13588619761630144,0.029773164167627833,-0.16000000000000003,0.16000000000000003,-0.07111111111111111,-0.2364628988850442,-0.16633602460592078,0.08421376393694734,0.186082276047674,0.003014225297962322,-0.08882737408688965,-0.13588619761630144,0.041584006151480196,-0.044844290657439445,0.029773164167627833,0.041584006151480196,0.09356401384083046,0.2364628988850442,0.17279507881584008,-0.17937716262975778,0.07111111111111111,0.06698961937716265,0.15378700499807765,0.03844675124951941,0.1085121107266436,0.3188927335640138,-0.041584006151480196,-0.05173394848135333,-0.06698961937716265,-0.14769703960015382,-0.044844290657439445,-0.2288965782391388,0.14769703960015382,-0.05173394848135333,-0.041584006151480196,0.1929104190695886,-0.21413302575932336,0.14769703960015382,0.13588619761630144,0.09356401384083046,-0.17937716262975778,0.0,-0.029773164167627833,-0.019930795847750864,-0.017777777777777778,0.004982698961937716,0.0629911572472126,-0.11374086889657825,-0.13016532103037293,0.22145328719723184,-0.041584006151480196,-0.03254133025759323,-0.0629911572472126,0.14173010380622836,0.024605920799692427,0.029773164167627833,-0.12456747404844293,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.17971611168221,37.00201835453595]}"
1,0.14173010380622836,0.16000000000000003,-0.07972318339100345,-0.03254133025759323,0.1085121107266436,0.041584006151480196,0.11909265667051133,0.13588619761630144,0.05536332179930796,-0.13588619761630144,0.13588619761630144,-0.16000000000000003,-0.24415224913494812,-0.11909265667051133,0.09356401384083046,0.22145328719723184,0.08421376393694734,-0.04822760476739715,-0.21413302575932336,-0.17937716262975778,-0.012056901191849288,-0.05536332179930796,-0.0629911572472126,0.03543252595155709,0.2599000384467512,0.2069357939254133,-0.08882737408688965,0.05536332179930796,0.11374086889657825,0.186082276047674,0.05173394848135333,-0.07535563244905807,0.2599000384467512,0.044844290657439445,-0.12456747404844293,-0.14769703960015382,-0.008858131487889272,0.09356401384083046,-0.14173010380622836,0.0629911572472126,0.13016532103037293,-0.09356401384083046,0.186082276047674,-0.19986159169550174,0.17937716262975778,0.03844675124951941,0.06698961937716265,0.06698961937716265,0.019930795847750864,-0.07111111111111111,-0.01574778931180315,-0.041584006151480196,0.07972318339100345,0.08421376393694734,0.017777777777777778,-0.05911572472126105,0.1929104190695886,-0.09842368319876971,0.01574778931180315,0.04822760476739715,0.2288965782391388,-0.03844675124951941,0.13016532103037293,0.05173394848135333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.17308712998168,37.03012758238353]}"
2,0.16633602460592078,0.05536332179930796,0.13016532103037293,-0.14769703960015382,0.09842368319876971,0.17279507881584008,0.13016532103037293,0.03543252595155709,0.044844290657439445,-0.14769703960015382,0.044844290657439445,-0.11909265667051133,-0.2599000384467512,-0.08421376393694734,0.05536332179930796,0.14769703960015382,-0.07972318339100345,0.019930795847750864,-0.13016532103037293,-0.2069357939254133,-0.05536332179930796,0.0629911572472126,-0.08421376393694734,0.16633602460592078,0.15378700499807765,0.16000000000000003,-0.14769703960015382,0.12456747404844293,0.09356401384083046,0.05536332179930796,0.19986159169550174,-0.0629911572472126,0.14769703960015382,-0.03844675124951941,-0.16000000000000003,-0.024605920799692427,0.012056901191849288,0.03844675124951941,-0.09842368319876971,0.11374086889657825,0.012056901191849288,-0.15378700499807765,0.13016532103037293,-0.2599000384467512,0.14769703960015382,0.14173010380622836,0.08882737408688965,-0.17279507881584008,-0.2679584775086506,-0.08421376393694734,-0.01384083044982699,0.04822760476739715,0.03543252595155709,-0.08882737408688965,-0.044844290657439445,-0.2288965782391388,0.07535563244905807,0.012056901191849288,-0.008858131487889272,0.08882737408688965,0.14769703960015382,-0.0629911572472126,0.003936947327950788,-0.19986159169550174,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.19009580547866,37.03345277804309]}"
3,0.2069357939254133,0.1929104190695886,-0.07535563244905807,-0.05911572472126105,0.07111111111111111,-0.012056901191849288,0.07972318339100345,0.06698961937716265,0.06698961937716265,-0.14769703960015382,0.044844290657439445,-0.029773164167627833,-0.186082276047674,-0.17279507881584008,0.07111111111111111,0.13016532103037293,-0.03254133025759323,0.13016532103037293,-0.06698961937716265,0.044844290657439445,-0.044844290657439445,0.24415224913494812,-0.07111111111111111,0.15378700499807765,0.17937716262975778,0.14173010380622836,-0.16000000000000003,0.16633602460592078,0.14769703960015382,0.08882737408688965,0.09356401384083046,-0.0015378700499807767,0.11909265667051133,0.04822760476739715,-0.10340638216070744,-0.11909265667051133,-0.024605920799692427,-0.07972318339100345,-0.17937716262975778,0.2519646289888504,0.022206843521722412,0.006151480199923107,0.2761399461745483,-0.22145328719723184,0.11909265667051133,0.15378700499807765,0.03844675124951941,-0.186082276047674,-0.05911572472126105,-0.044844290657439445,0.003014225297962322,-0.07972318339100345,0.16633602460592078,-0.06698961937716265,-0.16633602460592078,-0.09842368319876971,0.15378700499807765,-0.07972318339100345,-0.08882737408688965,-0.16000000000000003,0.13588619761630144,0.07111111111111111,-0.03543252595155709,-0.07535563244905807,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.20189392720023,37.03372233788459]}"
4,0.17279507881584008,0.0629911572472126,0.07972318339100345,-0.12456747404844293,0.08421376393694734,0.16633602460592078,0.07111111111111111,0.03254133025759323,0.019930795847750864,-0.13588619761630144,-0.029773164167627833,-0.11909265667051133,-0.2364628988850442,-0.13016532103037293,-0.03254133025759323,0.08882737408688965,-0.10340638216070744,-0.04822760476739715,-0.16000000000000003,-0.1085121107266436,-0.05536332179930796,0.004982698961937716,-0.13016532103037293,0.21413302575932336,0.19986159169550174,0.04822760476739715,-0.06698961937716265,0.09356401384083046,0.01384083044982699,0.024605920799692427,0.2364628988850442,-0.06698961937716265,0.186082276047674,-0.06698961937716265,-0.2519646289888504,0.022206843521722412,-0.03844675124951941,0.05173394848135333,-0.03844675124951941,0.09842368319876971,-0.07111111111111111,-0.12456747404844293,0.11374086889657825,-0.2288965782391388,0.15378700499807765,0.2288965782391388,0.07972318339100345,-0.19986159169550174,-0.33685505574778934,0.017777777777777778,-0.0629911572472126,-0.0015378700499807767,0.03543252595155709,-0.08882737408688965,-0.024605920799692427,-0.21413302575932336,0.04822760476739715,-0.029773164167627833,-0.05911572472126105,0.11909265667051133,0.11909265667051133,0.03844675124951941,0.010396001537870049,-0.13588619761630144,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.16484123523746,37.045773211684114]}"
5,0.2069357939254133,0.07111111111111111,0.07111111111111111,-0.08882737408688965,0.10340638216070744,0.19986159169550174,0.07111111111111111,0.019930795847750864,0.07972318339100345,-0.11909265667051133,0.08882737408688965,-0.12456747404844293,-0.2364628988850442,-0.12456747404844293,0.022206843521722412,0.14769703960015382,-0.05536332179930796,-0.06698961937716265,-0.17937716262975778,-0.17937716262975778,-0.04822760476739715,0.041584006151480196,-0.11374086889657825,0.1929104190695886,0.1929104190695886,0.11374086889657825,-0.10340638216070744,0.04822760476739715,0.07972318339100345,0.09842368319876971,0.13016532103037293,-0.10340638216070744,0.14769703960015382,-0.11909265667051133,-0.2364628988850442,0.003936947327950788,-0.019930795847750864,0.05911572472126105,-0.13016532103037293,0.044844290657439445,0.03844675124951941,-0.14173010380622836,0.13588619761630144,-0.22145328719723184,0.1929104190695886,0.186082276047674,0.13016532103037293,-0.21413302575932336,-0.1929104190695886,-0.0629911572472126,-0.0629911572472126,0.007443291041906958,0.06698961937716265,0.003014225297962322,-0.11374086889657825,-0.21413302575932336,0.08421376393694734,-0.05911572472126105,0.010396001537870049,0.05536332179930796,0.14769703960015382,-0.008858131487889272,0.11374086889657825,-0.12456747404844293,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.19410306999652,37.04937695716839]}"
6,0.15378700499807765,0.012056901191849288,0.09356401384083046,-0.10340638216070744,0.10340638216070744,0.17279507881584008,0.09842368319876971,0.03543252595155709,0.05173394848135333,-0.15378700499807765,0.01384083044982699,-0.03844675124951941,-0.31009611687812383,-0.11374086889657825,0.08882737408688965,0.14769703960015382,-0.07111111111111111,-0.0629911572472126,-0.11374086889657825,-0.2288965782391388,-0.022206843521722412,-0.05911572472126105,-0.019930795847750864,0.2069357939254133,0.15378700499807765,0.07535563244905807,-0.07535563244905807,0.09356401384083046,0.044844290657439445,0.07535563244905807,0.16633602460592078,-0.07111111111111111,0.2599000384467512,-0.11909265667051133,-0.1929104190695886,0.007443291041906958,0.03254133025759323,0.010396001537870049,-0.05173394848135333,0.13588619761630144,-0.012056901191849288,-0.14769703960015382,0.07535563244905807,-0.2761399461745483,0.13588619761630144,0.13016532103037293,0.0629911572472126,-0.15378700499807765,-0.2519646289888504,-0.012056901191849288,-0.029773164167627833,0.05911572472126105,-0.03844675124951941,-0.11374086889657825,0.024605920799692427,-0.2599000384467512,0.08882737408688965,-0.019930795847750864,-0.05536332179930796,0.13588619761630144,0.17279507881584008,0.007443291041906958,0.022206843521722412,-0.12456747404844293,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.18614096916511,37.081522293773126]}"
7,0.19986159169550174,-0.03844675124951941,0.16000000000000003,-0.007443291041906958,0.1085121107266436,0.14173010380622836,0.13588619761630144,0.012056901191849288,-0.017777777777777778,-0.019930795847750864,0.03543252595155709,-0.14769703960015382,-0.2519646289888504,-0.14769703960015382,0.041584006151480196,0.07972318339100345,-0.16000000000000003,-0.05536332179930796,-0.13016532103037293,-0.2288965782391388,-0.006151480199923107,-0.05911572472126105,-0.10340638216070744,0.17279507881584008,0.17937716262975778,0.10340638216070744,-0.07972318339100345,0.08882737408688965,0.11374086889657825,-0.006151480199923107,0.09842368319876971,-0.14769703960015382,0.14173010380622836,-0.12456747404844293,-0.2599000384467512,0.05173394848135333,0.11909265667051133,0.07535563244905807,-0.15378700499807765,0.041584006151480196,0.12456747404844293,-0.2364628988850442,0.012056901191849288,-0.2069357939254133,0.15378700499807765,0.16000000000000003,0.05911572472126105,-0.17279507881584008,-0.14173010380622836,0.03844675124951941,-0.13016532103037293,0.08421376393694734,0.041584006151480196,-0.03254133025759323,-0.04822760476739715,-0.2519646289888504,0.0271280276816609,-0.044844290657439445,-0.03543252595155709,0.1085121107266436,0.17279507881584008,-0.012056901191849288,0.14173010380622836,-0.041584006151480196,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.17267903357369,37.084650406318445]}"
8,0.16633602460592078,0.022206843521722412,0.03543252595155709,-0.05911572472126105,0.09356401384083046,0.14173010380622836,0.0271280276816609,-0.007443291041906958,-0.04822760476739715,-0.13588619761630144,0.19986159169550174,-0.16000000000000003,-0.2364628988850442,-0.13588619761630144,0.08421376393694734,0.11909265667051133,-0.024605920799692427,-0.07972318339100345,-0.16000000000000003,-0.10340638216070744,-0.1085121107266436,-0.017777777777777778,-0.11374086889657825,0.13016532103037293,0.16000000000000003,0.14173010380622836,-0.08421376393694734,0.003936947327950788,0.10340638216070744,0.11374086889657825,0.10340638216070744,-0.019930795847750864,0.2288965782391388,-0.13588619761630144,-0.2519646289888504,0.022206843521722412,-0.04822760476739715,0.07972318339100345,-0.17279507881584008,0.05173394848135333,0.044844290657439445,-0.2069357939254133,0.09356401384083046,-0.21413302575932336,0.21413302575932336,0.14769703960015382,0.1929104190695886,-0.13016532103037293,-0.07535563244905807,0.003936947327950788,-0.0629911572472126,-0.022206843521722412,0.024605920799692427,-0.006151480199923107,-0.07972318339100345,-0.22145328719723184,0.03844675124951941,-0.15378700499807765,0.002214532871972318,0.03254133025759323,0.186082276047674,-0.05536332179930796,0.17279507881584008,-0.14173010380622836,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.17944410081257,37.08872022062073]}"
9,0.22145328719723184,0.17937716262975778,-0.03844675124951941,-0.09842368319876971,0.13588619761630144,0.010396001537870049,0.1085121107266436,0.09842368319876971,-0.024605920799692427,-0.1085121107266436,0.07111111111111111,-0.09842368319876971,-0.17937716262975778,-0.19986159169550174,0.07535563244905807,0.13016532103037293,-0.03844675124951941,0.08421376393694734,-0.041584006151480196,0.019930795847750864,-0.07972318339100345,0.2069357939254133,-0.11374086889657825,0.09842368319876971,0.186082276047674,0.24415224913494812,-0.17279507881584008,0.13016532103037293,0.16633602460592078,0.07972318339100345,0.11909265667051133,-0.022206843521722412,0.17937716262975778,0.017777777777777778,-0.12456747404844293,-0.08882737408688965,-0.03543252595155709,-0.03844675124951941,-0.16633602460592078,0.186082276047674,0.07111111111111111,-0.03543252595155709,0.14769703960015382,-0.2069357939254133,0.1929104190695886,0.1085121107266436,0.09356401384083046,-0.15378700499807765,-0.13588619761630144,-0.044844290657439445,-0.017777777777777778,-0.0271280276816609,0.08882737408688965,-0.05173394848135333,-0.19986159169550174,-0.14769703960015382,0.10340638216070744,-0.08882737408688965,-0.03254133025759323,-0.21413302575932336,0.17279507881584008,-0.03844675124951941,-0.041584006151480196,-0.10340638216070744,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.19744560712397,37.09818860878207]}"
