fraction,train_rows,test_rows,target_col,r2,rmse,mae,pearson_r
0.01,50,909,B4,0.3654038904385474,0.04262876539845077,0.02194326999716833,0.6189369479698887
0.05,182,909,B4,0.5781749996365072,0.03475523345427117,0.018267062485143093,0.7704170221738667
0.1,364,909,B4,0.6211874817856509,0.032935648068480754,0.017048978608731846,0.7966089626456457
0.25,909,909,B4,0.6655886939558292,0.030945287953767386,0.016909998500725065,0.816934692865247
0.5,1818,909,B4,0.6762272225732698,0.030449082975684612,0.017574590522247822,0.8233177845654039
1.0,3635,909,B4,0.6683318283209949,0.03081810642836281,0.018227005684814782,0.8214529100724945
